content,score,at,clean_text,normalized_text,text_StopWords,text_tokens,text_steaming,sentimen,,
Terbaik,4,2024-12-12 01:13:58,terbaik,terbaik,terbaik,['terbaik'],baik,positif,,
Pengalaman saya di pilkada 2024 yg kebetulan saya sendiri memegang sirekap Sangat bagus cepat dan akurat,5,2024-12-11 01:53:31,pengalaman saya di pilkada 2024 yg kebetulan saya sendiri memegang sirekap sangat bagus cepat dan akurat,pengalaman saya di pilkada 2024 yang kebetulan saya sendiri memegang sirekap sangat bagus cepat dan akurat,pengalaman pilkada 2024 memegang sirekap bagus cepat akurat,"['pengalaman', 'pilkada', '2024', 'memegang', 'sirekap', 'bagus', 'cepat', 'akurat']",alam pilkada 2024 pegang sirekap bagus cepat akurat,positif,,
Sangat membantu tugas KPPS dalam menghitung perolehan suara. Cuma kendala nya di sinyal kalau sinyal kurang mendukung ya tidak bisa unggah data,5,2024-12-05 00:29:33,sangat membantu tugas kpps dalam menghitung perolehan suara cuma kendala nya di sinyal kalau sinyal kurang mendukung ya tidak bisa unggah data,sangat membantu tugas kpps dalam menghitung perolehan suara cuma kendala nya di sinyal kalau sinyal kurang mendukung iya tidak bisa unggah data,membantu tugas kpps menghitung perolehan suara kendala nya sinyal sinyal mendukung iya unggah data,"['membantu', 'tugas', 'kpps', 'menghitung', 'perolehan', 'suara', 'kendala', 'nya', 'sinyal', 'sinyal', 'mendukung', 'iya', 'unggah', 'data']",bantu tugas kpps hitung oleh suara kendala nya sinyal sinyal dukung iya unggah data,negatif,,
Untuk sekarang sirekap berjalan sesuai dengan yg di harapkan tidak pas waktu pemilu.. Semoga 5 tahun yg akan datang sirekap lebih baik pagi,5,2024-12-04 09:12:45,untuk sekarang sirekap berjalan sesuai dengan yg di harapkan tidak pas waktu pemilu semoga 5 tahun yg akan datang sirekap lebih baik pagi,untuk sekarang sirekap berjalan sesuai dengan yang di harapkan tidak saat waktu pemilu semoga 5 tahun yang akan datang sirekap lebih baik pagi,sirekap berjalan sesuai harapkan pemilu semoga 5 sirekap pagi,"['sirekap', 'berjalan', 'sesuai', 'harapkan', 'pemilu', 'semoga', '5', 'sirekap', 'pagi']",sirekap jalan sesuai harap milu moga 5 sirekap pagi,positif,,
testo,5,2024-12-03 10:39:00,testo,percobaan mantab,percobaan mantab,"['percobaan', 'mantab']",coba mantab,positif,,
👍,1,2024-12-03 09:09:58,,,,[],,netral,,
Kenapa ungah daftar gak bisa,5,2024-12-03 04:16:31,kenapa ungah daftar gak bisa,kenapa unggah daftar tidak bisa,unggah daftar,"['unggah', 'daftar']",unggah daftar,negatif,,
"Aplikasi sudah lebih baik daripada sirekap pilpres, saran saya, untuk kamera lebih baik menggunakan setting mode kamera biasa saja daripada kamera mode malam, karena di banyak device lebih bagus hasil potret menggunakan kamera biasa walaupun saat malam hari",5,2024-12-03 02:42:28,aplikasi sudah lebih baik daripada sirekap pilpres saran saya untuk kamera lebih baik menggunakan setting mode kamera biasa saja daripada kamera mode malam karena di banyak device lebih bagus hasil potret menggunakan kamera biasa walaupun saat malam hari,aplikasi sudah lebih baik daripada sirekap pilpres saran saya untuk kamera lebih baik menggunakan setting mode kamera biasa saja daripada kamera mode malam karena di banyak device lebih bagus hasil potret menggunakan kamera biasa walaupun saat malam hari,aplikasi sirekap pilpres saran kamera setting mode kamera kamera mode malam device bagus hasil potret kamera malam,"['aplikasi', 'sirekap', 'pilpres', 'saran', 'kamera', 'setting', 'mode', 'kamera', 'kamera', 'mode', 'malam', 'device', 'bagus', 'hasil', 'potret', 'kamera', 'malam']",aplikasi sirekap pilpres saran kamera setting mode kamera kamera mode malam device bagus hasil potret kamera malam,positif,,
Baik,5,2024-12-02 17:31:53,baik,baik,,[],,positif,,
Aman gak ada bug,5,2024-12-02 10:44:14,aman gak ada bug,aman tidak ada bug,aman bug,"['aman', 'bug']",aman bug,negatif,,
Bintang 4 karena ada masalah di peng upload an daftar hadir kemarin,4,2024-12-02 03:17:01,bintang 4 karena ada masalah di peng upload an daftar hadir kemarin,bintang 4 karena ada masalah di peng upload an daftar hadir kemarin,bintang 4 peng upload an daftar hadir kemarin,"['bintang', '4', 'peng', 'upload', 'an', 'daftar', 'hadir', 'kemarin']",bintang 4 peng upload an daftar hadir kemarin,netral,,
"Testimoni dari kami TPS 01 Bago Tanggul... Mengenai Penggunaan aplikasi sirekap pilkada tahun 2024 cukup bagus ada peningkatan di bandingkan dengan Pilpres tahun 2024, mungkin ada kendala jaringan tetapi proses tetap berjalan dengan lancar",5,2024-12-02 02:55:58,testimoni dari kami tps 01 bago tanggul mengenai penggunaan aplikasi sirekap pilkada tahun 2024 cukup bagus ada peningkatan di bandingkan dengan pilpres tahun 2024 mungkin ada kendala jaringan tetapi proses tetap berjalan dengan lancar,testimoni dari kami tps 01 bago tanggul mengenai penggunaan aplikasi sirekap pilkada tahun 2024 cukup bagus ada peningkatan di bandingkan dengan pilpres tahun 2024 mungkin ada kendala jaringan tetapi proses tetap berjalan dengan lancar,testimoni tps 01 bago tanggul penggunaan aplikasi sirekap pilkada 2024 bagus peningkatan bandingkan pilpres 2024 kendala jaringan proses berjalan lancar,"['testimoni', 'tps', '01', 'bago', 'tanggul', 'penggunaan', 'aplikasi', 'sirekap', 'pilkada', '2024', 'bagus', 'peningkatan', 'bandingkan', 'pilpres', '2024', 'kendala', 'jaringan', 'proses', 'berjalan', 'lancar']",testimoni tps 01 bago tanggul guna aplikasi sirekap pilkada 2024 bagus tingkat banding pilpres 2024 kendala jaring proses jalan lancar,positif,,
Alhamdulillah aplikasinya sudah lebih lancar dan digunakan saat hari pemungutan suara lancar tanpa ada kendala sama sekali. Good KPU sudah berbenah dari masalah Pemilu kemarin,5,2024-12-01 05:00:50,alhamdulillah aplikasinya sudah lebih lancar dan digunakan saat hari pemungutan suara lancar tanpa ada kendala sama sekali good kpu sudah berbenah dari masalah pemilu kemarin,alhamdulillah aplikasinya sudah lebih lancar dan digunakan saat hari pemungutan suara lancar tanpa ada kendala sama sekali baik kpu sudah berbenah dari masalah pemilu kemarin,alhamdulillah aplikasinya lancar pemungutan suara lancar kendala kpu berbenah pemilu kemarin,"['alhamdulillah', 'aplikasinya', 'lancar', 'pemungutan', 'suara', 'lancar', 'kendala', 'kpu', 'berbenah', 'pemilu', 'kemarin']",alhamdulillah aplikasi lancar mungut suara lancar kendala kpu benah milu kemarin,positif,,
"Jamal Dr TPS 1 Loktabat Selatan, Banjarbaru. Aplikasi ny berjalan dengan baik dan lancar. Terima kasih sdh mempermudah kami sebagai KPPS dalam melaksanakan pilkada thn ini.",5,2024-11-30 12:20:58,jamal dr tps 1 loktabat selatan banjarbaru aplikasi ny berjalan dengan baik dan lancar terima kasih sdh mempermudah kami sebagai kpps dalam melaksanakan pilkada thn ini,jamal dr tps 1 loktabat selatan banjarbaru aplikasi ny berjalan dengan baik dan lancar terima kasih sdh mempermudah kami sebagai kpps dalam melaksanakan pilkada thn ini,jamal dr tps 1 loktabat selatan banjarbaru aplikasi ny berjalan lancar terima kasih sdh mempermudah kpps melaksanakan pilkada thn,"['jamal', 'dr', 'tps', '1', 'loktabat', 'selatan', 'banjarbaru', 'aplikasi', 'ny', 'berjalan', 'lancar', 'terima', 'kasih', 'sdh', 'mempermudah', 'kpps', 'melaksanakan', 'pilkada', 'thn']",jamal dr tps 1 loktabat selatan banjarbaru aplikasi ny jalan lancar terima kasih sdh mudah kpps laksana pilkada thn,positif,,
"Sudah lebih banyak kemajuan, gambar lebih jernih, proses login lebih mudah, hanya kendala upload daftar hadir memerlukan waktu yg sangat lama...",4,2024-11-30 10:31:59,sudah lebih banyak kemajuan gambar lebih jernih proses login lebih mudah hanya kendala upload daftar hadir memerlukan waktu yg sangat lama,sudah lebih banyak kemajuan gambar lebih jernih proses login lebih mudah hanya kendala upload daftar hadir memerlukan waktu yang sangat lama,kemajuan gambar jernih proses login mudah kendala upload daftar hadir,"['kemajuan', 'gambar', 'jernih', 'proses', 'login', 'mudah', 'kendala', 'upload', 'daftar', 'hadir']",maju gambar jernih proses login mudah kendala upload daftar hadir,negatif,,
Pilkada kemarin sangat Luar biasa,5,2024-11-30 05:49:26,pilkada kemarin sangat luar biasa,pilkada kemarin sangat bagus sekali,pilkada kemarin bagus,"['pilkada', 'kemarin', 'bagus']",pilkada kemarin bagus,positif,,
Sukses selalu,4,2024-11-29 10:15:09,sukses selalu,sukses selalu,sukses,['sukses'],sukses,positif,,
Bagus banget,3,2024-11-29 06:39:15,bagus banget,bagus banget,bagus banget,"['bagus', 'banget']",bagus banget,positif,,
Aplikasi pemerintah gak jelas.,1,2024-11-28 14:45:39,aplikasi pemerintah gak jelas,aplikasi pemerintah tidak jelas,aplikasi pemerintah,"['aplikasi', 'pemerintah']",aplikasi perintah,negatif,,
Mantap 👍,5,2024-11-28 13:32:02,mantap,mantap,mantap,['mantap'],mantap,positif,,
Terima kasih sudah membantu saya,1,2024-11-28 13:23:44,terima kasih sudah membantu saya,terima kasih sudah membantu saya,terima kasih membantu,"['terima', 'kasih', 'membantu']",terima kasih bantu,positif,,
"Tidak bisa unggah berkas, setiap diunggah malah keluar terus",2,2024-11-28 10:22:30,tidak bisa unggah berkas setiap diunggah malah keluar terus,tidak bisa unggah berkas setiap diunggah malah keluar terus,unggah berkas diunggah,"['unggah', 'berkas', 'diunggah']",unggah berkas unggah,negatif,,
"Ganti dari bintang 1 ke bintang 4 karena banyak perkembangan di aplikasi ini, pas pemilu kemarin jelek bgt banyak kendala tapi di pilkada kali ini udah bagus aplikasi lancar paling beberapa kali gagal upload berkas tapi masih bisa di atasi, semoga pemilu selanjutnya makin bagus dan gak usah ganti dan buat aplikasi baru buang buang anggaran, pertahanin yang ini dan kembangin biar makin mudah aja",4,2024-11-28 09:57:28,ganti dari bintang 1 ke bintang 4 karena banyak perkembangan di aplikasi ini pas pemilu kemarin jelek bgt banyak kendala tapi di pilkada kali ini udah bagus aplikasi lancar paling beberapa kali gagal upload berkas tapi masih bisa di atasi semoga pemilu selanjutnya makin bagus dan gak usah ganti dan buat aplikasi baru buang buang anggaran pertahanin yang ini dan kembangin biar makin mudah aja,ganti dari bintang 1 ke bintang 4 karena banyak perkembangan di aplikasi ini saat pemilu kemarin buruk bgt banyak kendala tapi di pilkada kali ini sudah bagus aplikasi lancar paling beberapa kali gagal upload berkas tapi masih bisa di atasi semoga pemilu selanjutnya makin bagus dan tidak usah ganti dan untuk aplikasi baru buang buang anggaran pertahanin yang ini dan kembangin biar makin mudah saja,ganti bintang 1 bintang 4 perkembangan aplikasi pemilu kemarin buruk bgt kendala pilkada kali bagus aplikasi lancar kali gagal upload berkas atasi semoga pemilu bagus ganti aplikasi buang buang anggaran pertahanin kembangin biar mudah,"['ganti', 'bintang', '1', 'bintang', '4', 'perkembangan', 'aplikasi', 'pemilu', 'kemarin', 'buruk', 'bgt', 'kendala', 'pilkada', 'kali', 'bagus', 'aplikasi', 'lancar', 'kali', 'gagal', 'upload', 'berkas', 'atasi', 'semoga', 'pemilu', 'bagus', 'ganti', 'aplikasi', 'buang', 'buang', 'anggaran', 'pertahanin', 'kembangin', 'biar', 'mudah']",ganti bintang 1 bintang 4 kembang aplikasi milu kemarin buruk bgt kendala pilkada kali bagus aplikasi lancar kali gagal upload berkas atas moga milu bagus ganti aplikasi buang buang anggar pertahanin kembangin biar mudah,negatif,,
"Kira kira, kalau yg versi 2.71 yg Sdh di rekap, apa bisa datanya login otomatis ke 2.73 ? Ijin petunjuk 🙏",2,2024-11-28 09:26:00,kira kira kalau yg versi 271 yg sdh di rekap apa bisa datanya login otomatis ke 273 ijin petunjuk,kira kira kalau yang versi 271 yang sdh di rekap apa bisa datanya login otomatis ke 273 ijin petunjuk,versi 271 sdh rekap datanya login otomatis 273 ijin petunjuk,"['versi', '271', 'sdh', 'rekap', 'datanya', 'login', 'otomatis', '273', 'ijin', 'petunjuk']",versi 271 sdh rekap data login otomatis 273 ijin tunjuk,netral,,
Sebelum nya lancar lancar aja tidak ada kendali tapi setelah hari H mau unggah yg pdf nya gagal terus,4,2024-11-28 08:56:27,sebelum nya lancar lancar aja tidak ada kendali tapi setelah hari h mau unggah yg pdf nya gagal terus,sebelum nya lancar lancar saja tidak ada kendali tapi setelah hari h ingin unggah yang pdf nya gagal terus,nya lancar lancar kendali h unggah pdf nya gagal,"['nya', 'lancar', 'lancar', 'kendali', 'h', 'unggah', 'pdf', 'nya', 'gagal']",nya lancar lancar kendali h unggah pdf nya gagal,netral,,
Oke,5,2024-11-28 07:39:18,oke,oke,oke,['oke'],oke,positif,,
🗿,1,2024-11-28 06:59:15,,,,[],,netral,,
"Min tolong punya saya, tinggal upload berkas daftar hadir, tapi saya tinggal sampai sekarang udah 13 jam masih belum bisa juga di upload, tampilan tetap sama dengan saya terakhir upload, udah saya coba pakai WiFi & Data tapi juga belum bisa Penyimpanan saya juga masih 10gb Tolong min di perbaiki🙏🏽🙏🏽",2,2024-11-28 05:50:44,min tolong punya saya tinggal upload berkas daftar hadir tapi saya tinggal sampai sekarang udah 13 jam masih belum bisa juga di upload tampilan tetap sama dengan saya terakhir upload udah saya coba pakai wifi data tapi juga belum bisa penyimpanan saya juga masih 10gb tolong min di perbaiki,min mohon punya saya tinggal upload berkas daftar hadir tapi saya tinggal sampai sekarang sudah 13 jam masih belum bisa juga di upload tampilan tetap sama dengan saya terakhir upload sudah saya coba pakai wifi data tapi juga belum bisa penyimpanan saya juga masih 10gb mohon min di perbaiki,min mohon tinggal upload berkas daftar hadir tinggal 13 jam upload tampilan upload coba pakai wifi data penyimpanan 10gb mohon min perbaiki,"['min', 'mohon', 'tinggal', 'upload', 'berkas', 'daftar', 'hadir', 'tinggal', '13', 'jam', 'upload', 'tampilan', 'upload', 'coba', 'pakai', 'wifi', 'data', 'penyimpanan', '10gb', 'mohon', 'min', 'perbaiki']",min mohon tinggal upload berkas daftar hadir tinggal 13 jam upload tampil upload coba pakai wifi data simpan 10gb mohon min baik,negatif,,
"Istimewa beritanya, jelas dan akurat",5,2024-11-28 05:30:19,istimewa beritanya jelas dan akurat,istimewa beritanya jelas dan akurat,istimewa beritanya akurat,"['istimewa', 'beritanya', 'akurat']",istimewa berita akurat,positif,,
"aplikasi kntol nyusahin kpps, developer TOLOL",1,2024-11-28 05:13:34,aplikasi kntol nyusahin kpps developer tolol,aplikasi jelek nyusahin kpps developer tidak berguna,aplikasi jelek nyusahin kpps developer berguna,"['aplikasi', 'jelek', 'nyusahin', 'kpps', 'developer', 'berguna']",aplikasi jelek nyusahin kpps developer guna,negatif,,
Steady,5,2024-11-28 04:58:46,steady,stabil,stabil,['stabil'],stabil,positif,,
"Aplikasinya kurang stabil, scanner camera juga kurang bagus, suka ngelag ngelag, sarannya agar ada pilihan upload terutama untuk daftar hadir dan tanda terima dan kejadian khusus karena dengan scanner yang tidak stabil seperti ini cukup sulit menangkap gambar yang bagus",1,2024-11-28 04:15:40,aplikasinya kurang stabil scanner camera juga kurang bagus suka ngelag ngelag sarannya agar ada pilihan upload terutama untuk daftar hadir dan tanda terima dan kejadian khusus karena dengan scanner yang tidak stabil seperti ini cukup sulit menangkap gambar yang bagus,aplikasinya kurang stabil scanner camera juga kurang bagus suka ngelag ngelag sarannya agar ada pilihan upload terutama untuk daftar hadir dan tanda terima dan kejadian khusus karena dengan scanner yang tidak stabil seperti ini cukup sulit menangkap gambar yang bagus,aplikasinya stabil scanner camera bagus suka ngelag ngelag sarannya pilihan upload daftar hadir tanda terima kejadian khusus scanner stabil sulit menangkap gambar bagus,"['aplikasinya', 'stabil', 'scanner', 'camera', 'bagus', 'suka', 'ngelag', 'ngelag', 'sarannya', 'pilihan', 'upload', 'daftar', 'hadir', 'tanda', 'terima', 'kejadian', 'khusus', 'scanner', 'stabil', 'sulit', 'menangkap', 'gambar', 'bagus']",aplikasi stabil scanner camera bagus suka ngelag ngelag saran pilih upload daftar hadir tanda terima jadi khusus scanner stabil sulit tangkap gambar bagus,negatif,,
selalu menyusahkan yg bawah,1,2024-11-28 03:55:03,selalu menyusahkan yg bawah,selalu menyusahkan yang bawah,menyusahkan,['menyusahkan'],susah,negatif,,
Aplikasi nya Bapuk..!!!,1,2024-11-28 02:09:27,aplikasi nya bapuk,aplikasi nya buruk,aplikasi nya buruk,"['aplikasi', 'nya', 'buruk']",aplikasi nya buruk,negatif,,
"Bug buat dokumen lama dan foto halaman 2 capres tidak bisa buka ( edit sdh ada kemajuan aplikasinya, saran untuk server BW nya di perbesar agar bisa upload cepat)",3,2024-11-28 01:28:47,bug buat dokumen lama dan foto halaman 2 capres tidak bisa buka edit sdh ada kemajuan aplikasinya saran untuk server bw nya di perbesar agar bisa upload cepat,bug untuk dokumen lama dan foto halaman 2 capres tidak bisa buka edit sdh ada kemajuan aplikasinya saran untuk server bw nya di perbesar agar bisa upload cepat,bug dokumen foto halaman 2 capres buka edit sdh kemajuan aplikasinya saran server bw nya perbesar upload cepat,"['bug', 'dokumen', 'foto', 'halaman', '2', 'capres', 'buka', 'edit', 'sdh', 'kemajuan', 'aplikasinya', 'saran', 'server', 'bw', 'nya', 'perbesar', 'upload', 'cepat']",bug dokumen foto halaman 2 capres buka edit sdh maju aplikasi saran server bw nya besar upload cepat,negatif,,
"Terkendala di unggah daftar hadir, tolonglah di benahi lagi aplikasinya. Hasil kamera sirekap buram dan kurang stabil saat pengambilan foto c hasil dll di malam hari, lebih bagusnya pakai kamera bawaan hp saja saat pengambilan foto.",1,2024-11-27 21:13:42,terkendala di unggah daftar hadir tolonglah di benahi lagi aplikasinya hasil kamera sirekap buram dan kurang stabil saat pengambilan foto c hasil dll di malam hari lebih bagusnya pakai kamera bawaan hp saja saat pengambilan foto,terkendala di unggah daftar hadir tolonglah di benahi lagi aplikasinya hasil kamera sirekap buram dan kurang stabil saat pengambilan foto c hasil dll di malam hari lebih bagusnya pakai kamera bawaan hp saja saat pengambilan foto,terkendala unggah daftar hadir tolonglah benahi aplikasinya hasil kamera sirekap buram stabil pengambilan foto c hasil dll malam bagusnya pakai kamera bawaan hp pengambilan foto,"['terkendala', 'unggah', 'daftar', 'hadir', 'tolonglah', 'benahi', 'aplikasinya', 'hasil', 'kamera', 'sirekap', 'buram', 'stabil', 'pengambilan', 'foto', 'c', 'hasil', 'dll', 'malam', 'bagusnya', 'pakai', 'kamera', 'bawaan', 'hp', 'pengambilan', 'foto']",kendala unggah daftar hadir tolong benah aplikasi hasil kamera sirekap buram stabil ambil foto c hasil dll malam bagus pakai kamera bawa hp ambil foto,negatif,,
Good,5,2024-11-27 15:23:28,good,baik,,[],,positif,,
"Eh tolong dong susah banget ini mau Upload, kenapa ya sekali gagal itu gak bisa lagi. Sudah banget padhal misalkan upload Dokumen lain itu bisa.",1,2024-11-27 14:36:32,eh tolong dong susah banget ini mau upload kenapa ya sekali gagal itu gak bisa lagi sudah banget padhal misalkan upload dokumen lain itu bisa,eh mohon dong susah banget ini ingin upload kenapa iya sekali gagal itu tidak bisa lagi sudah banget padhal misalkan upload dokumen lain itu bisa,eh mohon susah banget upload iya gagal banget padhal upload dokumen,"['eh', 'mohon', 'susah', 'banget', 'upload', 'iya', 'gagal', 'banget', 'padhal', 'upload', 'dokumen']",eh mohon susah banget upload iya gagal banget padhal upload dokumen,negatif,,
wadalah ada error. reinstall APP malah dari 0 lagi 🗿🗿 blok... pdhl udh di kunci dan dikirim semua berkasnya. tinggal dibagian absen dptnya saja yang error. asli malah nyusahin ngent,1,2024-11-27 14:29:26,wadalah ada error reinstall app malah dari 0 lagi blok pdhl udh di kunci dan dikirim semua berkasnya tinggal dibagian absen dptnya saja yang error asli malah nyusahin ngent,wadalah ada error reinstall app malah dari 0 lagi goblok pdhl udh di kunci dan dikirim semua berkasnya tinggal dibagian absen dptnya saja yang error asli malah nyusahin ngent,wadalah error reinstall app 0 goblok pdhl udh kunci dikirim berkasnya tinggal dibagian absen dptnya error asli nyusahin ngent,"['wadalah', 'error', 'reinstall', 'app', '0', 'goblok', 'pdhl', 'udh', 'kunci', 'dikirim', 'berkasnya', 'tinggal', 'dibagian', 'absen', 'dptnya', 'error', 'asli', 'nyusahin', 'ngent']",wadalah error reinstall app 0 goblok pdhl udh kunci kirim berkas tinggal bagi absen dptnya error asli nyusahin ngent,negatif,,
"Tolong benahi kinerja sistemnya dlu, jangan kayak proyek yang sifatnya yang penting jadi, masa iya sebelum2 tahun pemilu atau pilkada persiapannya gitu2 aja buat aplikasi ini apalagi nanti 2029 wkwkw buat kunci dan upload aja lama",1,2024-11-27 13:57:38,tolong benahi kinerja sistemnya dlu jangan kayak proyek yang sifatnya yang penting jadi masa iya sebelum2 tahun pemilu atau pilkada persiapannya gitu2 aja buat aplikasi ini apalagi nanti 2029 wkwkw buat kunci dan upload aja lama,mohon benahi kinerja sistemnya dlu jangan kayak proyek yang sifatnya yang penting jadi masa iya sebelum2 tahun pemilu atau pilkada persiapannya gitu2 saja untuk aplikasi ini apalagi nanti 2029 wkwkw untuk kunci dan upload saja lama,mohon benahi kinerja sistemnya dlu kayak proyek sifatnya iya sebelum2 pemilu pilkada persiapannya gitu2 aplikasi 2029 wkwkw kunci upload,"['mohon', 'benahi', 'kinerja', 'sistemnya', 'dlu', 'kayak', 'proyek', 'sifatnya', 'iya', 'sebelum2', 'pemilu', 'pilkada', 'persiapannya', 'gitu2', 'aplikasi', '2029', 'wkwkw', 'kunci', 'upload']",mohon benah kerja sistem dlu kayak proyek sifat iya sebelum2 milu pilkada siap gitu2 aplikasi 2029 wkwkw kunci upload,negatif,,
"Tidak ada perubahan, selalu salah membaca angka, server selalu keteteran, niatnya mempermudah&mempercepat tapi malah mempersulit",1,2024-11-27 13:47:05,tidak ada perubahan selalu salah membaca angka server selalu keteteran niatnya mempermudahmempercepat tapi malah mempersulit,tidak ada perubahan selalu salah membaca angka server selalu keteteran niatnya mempermudahmempercepat tapi malah mempersulit,perubahan salah membaca angka server keteteran niatnya mempermudahmempercepat mempersulit,"['perubahan', 'salah', 'membaca', 'angka', 'server', 'keteteran', 'niatnya', 'mempermudahmempercepat', 'mempersulit']",ubah salah baca angka server keteter niat mempermudahmempercepat sulit,negatif,,
Smg bermanfaat,5,2024-11-27 13:25:59,smg bermanfaat,smg bermanfaat,smg bermanfaat,"['smg', 'bermanfaat']",smg manfaat,positif,,
"Kagak jelas,keseringan gagal upload file daftar hadir sampe nyoba 25 kali",1,2024-11-27 13:20:13,kagak jelaskeseringan gagal upload file daftar hadir sampe nyoba 25 kali,kagak jelaskeseringan gagal upload file daftar hadir sampe nyoba 25 kali,kagak jelaskeseringan gagal upload file daftar hadir sampe nyoba 25 kali,"['kagak', 'jelaskeseringan', 'gagal', 'upload', 'file', 'daftar', 'hadir', 'sampe', 'nyoba', '25', 'kali']",kagak jelaskeseringan gagal upload file daftar hadir sampe nyoba 25 kali,negatif,,
"tolong dong di perbagus lagii , saya mau unggah daftar hadirr susah banget",3,2024-11-27 13:18:42,tolong dong di perbagus lagii saya mau unggah daftar hadirr susah banget,mohon dong di perbagus lagii saya ingin unggah daftar hadirr susah banget,mohon perbagus lagii unggah daftar hadirr susah banget,"['mohon', 'perbagus', 'lagii', 'unggah', 'daftar', 'hadirr', 'susah', 'banget']",mohon bagus lagi unggah daftar hadirr susah banget,negatif,,
Eror terusss,3,2024-11-27 12:51:22,eror terusss,error terusss,error terusss,"['error', 'terusss']",error terusss,negatif,,
"mau upload daftar hadir susah amat, gagal mulu, malah memperlambat pekerjaan, segini doang nih aplikasi dr APBN?!!",1,2024-11-27 12:41:07,mau upload daftar hadir susah amat gagal mulu malah memperlambat pekerjaan segini doang nih aplikasi dr apbn,ingin upload daftar hadir susah amat gagal mulu malah memperlambat pekerjaan segini doang nih aplikasi dr apbn,upload daftar hadir susah gagal mulu memperlambat pekerjaan segini doang nih aplikasi dr apbn,"['upload', 'daftar', 'hadir', 'susah', 'gagal', 'mulu', 'memperlambat', 'pekerjaan', 'segini', 'doang', 'nih', 'aplikasi', 'dr', 'apbn']",upload daftar hadir susah gagal mulu lambat kerja gin doang nih aplikasi dr apbn,negatif,,
