content,score,at,sentimen,,
"Testimoni dari kami TPS 01 Bago Tanggul... Mengenai Penggunaan aplikasi sirekap pilkada tahun 2024 cukup bagus ada peningkatan di bandingkan dengan Pilpres tahun 2024, mungkin ada kendala jaringan tetapi proses tetap berjalan dengan lancar",5,2024-12-02 02:55:58,positif,,
Alhamdulillah aplikasinya sudah lebih lancar dan digunakan saat hari pemungutan suara lancar tanpa ada kendala sama sekali. Good KPU sudah berbenah dari masalah Pemilu kemarin,5,2024-12-01 05:00:50,positif,,
"Jamal Dr TPS 1 Loktabat Selatan, Banjarbaru. Aplikasi ny berjalan dengan baik dan lancar. Terima kasih sdh mempermudah kami sebagai KPPS dalam melaksanakan pilkada thn ini.",5,2024-11-30 12:20:58,positif,,
"Sudah lebih banyak kemajuan, gambar lebih jernih, proses login lebih mudah, hanya kendala upload daftar hadir memerlukan waktu yg sangat lama...",4,2024-11-30 10:31:59,negatif,,
Pilkada kemarin sangat Luar biasa,5,2024-11-30 05:49:26,positif,,
Sukses selalu,4,2024-11-29 10:15:09,positif,,
Bagus banget,3,2024-11-29 06:39:15,positif,,
Aplikasi pemerintah gak jelas.,1,2024-11-28 14:45:39,negatif,,
Mantap 👍,5,2024-11-28 13:32:02,positif,,
Terima kasih sudah membantu saya,1,2024-11-28 13:23:44,positif,,
"Tidak bisa unggah berkas, setiap diunggah malah keluar terus",2,2024-11-28 10:22:30,negatif,,
"Ganti dari bintang 1 ke bintang 4 karena banyak perkembangan di aplikasi ini, pas pemilu kemarin jelek bgt banyak kendala tapi di pilkada kali ini udah bagus aplikasi lancar paling beberapa kali gagal upload berkas tapi masih bisa di atasi, semoga pemilu selanjutnya makin bagus dan gak usah ganti dan buat aplikasi baru buang buang anggaran, pertahanin yang ini dan kembangin biar makin mudah aja",4,2024-11-28 09:57:28,negatif,,
"Kira kira, kalau yg versi 2.71 yg Sdh di rekap, apa bisa datanya login otomatis ke 2.73 ? Ijin petunjuk 🙏",2,2024-11-28 09:26:00,netral,,
Sebelum nya lancar lancar aja tidak ada kendali tapi setelah hari H mau unggah yg pdf nya gagal terus,4,2024-11-28 08:56:27,netral,,
Oke,5,2024-11-28 07:39:18,positif,,
🗿,1,2024-11-28 06:59:15,netral,,
"Min tolong punya saya, tinggal upload berkas daftar hadir, tapi saya tinggal sampai sekarang udah 13 jam masih belum bisa juga di upload, tampilan tetap sama dengan saya terakhir upload, udah saya coba pakai WiFi & Data tapi juga belum bisa Penyimpanan saya juga masih 10gb Tolong min di perbaiki🙏🏽🙏🏽",2,2024-11-28 05:50:44,negatif,,
"Istimewa beritanya, jelas dan akurat",5,2024-11-28 05:30:19,positif,,
"aplikasi kntol nyusahin kpps, developer TOLOL",1,2024-11-28 05:13:34,negatif,,
Steady,5,2024-11-28 04:58:46,positif,,
"Aplikasinya kurang stabil, scanner camera juga kurang bagus, suka ngelag ngelag, sarannya agar ada pilihan upload terutama untuk daftar hadir dan tanda terima dan kejadian khusus karena dengan scanner yang tidak stabil seperti ini cukup sulit menangkap gambar yang bagus",1,2024-11-28 04:15:40,negatif,,
selalu menyusahkan yg bawah,1,2024-11-28 03:55:03,negatif,,
Aplikasi nya Bapuk..!!!,1,2024-11-28 02:09:27,negatif,,
"Bug buat dokumen lama dan foto halaman 2 capres tidak bisa buka ( edit sdh ada kemajuan aplikasinya, saran untuk server BW nya di perbesar agar bisa upload cepat)",3,2024-11-28 01:28:47,negatif,,
"Terkendala di unggah daftar hadir, tolonglah di benahi lagi aplikasinya. Hasil kamera sirekap buram dan kurang stabil saat pengambilan foto c hasil dll di malam hari, lebih bagusnya pakai kamera bawaan hp saja saat pengambilan foto.",1,2024-11-27 21:13:42,negatif,,
Good,5,2024-11-27 15:23:28,positif,,
"Eh tolong dong susah banget ini mau Upload, kenapa ya sekali gagal itu gak bisa lagi. Sudah banget padhal misalkan upload Dokumen lain itu bisa.",1,2024-11-27 14:36:32,negatif,,
wadalah ada error. reinstall APP malah dari 0 lagi 🗿🗿 blok... pdhl udh di kunci dan dikirim semua berkasnya. tinggal dibagian absen dptnya saja yang error. asli malah nyusahin ngent,1,2024-11-27 14:29:26,negatif,,
"Tolong benahi kinerja sistemnya dlu, jangan kayak proyek yang sifatnya yang penting jadi, masa iya sebelum2 tahun pemilu atau pilkada persiapannya gitu2 aja buat aplikasi ini apalagi nanti 2029 wkwkw buat kunci dan upload aja lama",1,2024-11-27 13:57:38,negatif,,
"Tidak ada perubahan, selalu salah membaca angka, server selalu keteteran, niatnya mempermudah&mempercepat tapi malah mempersulit",1,2024-11-27 13:47:05,negatif,,
Smg bermanfaat,5,2024-11-27 13:25:59,positif,,
"Kagak jelas,keseringan gagal upload file daftar hadir sampe nyoba 25 kali",1,2024-11-27 13:20:13,negatif,,
"tolong dong di perbagus lagii , saya mau unggah daftar hadirr susah banget",3,2024-11-27 13:18:42,negatif,,
Eror terusss,3,2024-11-27 12:51:22,negatif,,
"mau upload daftar hadir susah amat, gagal mulu, malah memperlambat pekerjaan, segini doang nih aplikasi dr APBN?!!",1,2024-11-27 12:41:07,negatif,,
"Tolong untuk tambahkan fitur unduh data, agar kalau tidak sengaja kehapus data bisa di unduh lagi. Jadi berkas yang sudah di kunci lalu di unggah kalau ga sengaja kehapus data bisa dipulihkan kembali, itu akan sangat membantu untuk operator yang ada masalah.",5,2024-11-27 12:30:20,positif,,
"Aplikasi bapuk banyak bug saat pengambilan photo selalu lag, kemudian ketika sudah beres semua gak bisa upload pdf minimal setelah update lebih bagus ini malah lebih buruk😫👎👎",2,2024-11-27 12:09:53,negatif,,
Pas hari H nya unggah data daftar hadir tidak bisa error mulu😥,4,2024-11-27 12:02:39,negatif,,
Aplikasi cacat,1,2024-11-27 11:46:35,negatif,,
Apk mempersulit tidak mempermudah,1,2024-11-27 11:34:01,negatif,,
Banyak bug,1,2024-11-27 11:12:44,negatif,,
Apk ga jelas ngunggah aja lama . Lemah,1,2024-11-27 11:07:18,negatif,,
Gagal terus,1,2024-11-27 10:53:25,negatif,,
Hapus nya gaguna sangat bagus kalo tidak ada,1,2024-11-27 10:29:44,negatif,,
Mantap,5,2024-11-27 10:14:52,positif,,
"Aplikasi busuk , kebanyakan di korupsi ya gini Login aja susah",1,2024-11-27 09:04:45,negatif,,
Sangat membantu dan mudah di gunakan.,5,2024-11-27 09:00:05,positif,,
"aplikasi pemerintah masih jauh kualitasnya sama online shop, padahal yg pake cuma 1 hari doang",4,2024-11-27 08:41:32,negatif,,
Sangat membantu,1,2024-11-27 08:09:06,positif,,
Ajib,5,2024-11-26 20:28:45,netral,,
"username betul, password betul, saat submit masuk gak bisa. duuh repot banget",2,2024-11-26 17:29:02,negatif,,
"Aplkasi burik...sangat susah untuk didownload.....ditambah lagi pas unggah berkas sangat susah.......... Yg buat aplikasih ini lebih baik di hapus sj....lebih baik pake manual......yg dulu pake manual sj pemilu berjalan lancar....sekarang malah pake aplikasi buat tambah ribet di tambah lagi aplikasih yg tdk berguna ini.....aplikasi sangat burik...buang"" pulsa data",1,2024-11-26 17:00:18,negatif,,
"Gak bisa login, diperlukan otentikasi yg gak tau harus nyari dimana otentikasi nya, karna gak ada dapat chat wa atau melalui email untuk kode otentikasi",5,2024-11-26 15:54:50,negatif,,
Mantap,3,2024-11-26 15:38:48,positif,,
Saya mau masuk aplikasi sirekapAplena Sumuai,1,2024-11-26 15:30:53,negatif,,
Tolong diperbaiki saya tidak bisa login semoga semua orang tidak curiga bahwasanya database di otakatik,5,2024-11-26 15:30:23,negatif,,
Buruk,1,2024-11-26 14:08:00,negatif,,
Bismillah lancar,3,2024-11-26 12:39:56,positif,,
Lupa sandi sirekap gimana solusinya min😭😭😭😭,5,2024-11-26 12:28:52,negatif,,
mantap,5,2024-11-26 12:28:13,positif,,
"Mohon untuk di perbaiki lagi sitemnya, kadang ngeleg",3,2024-11-26 11:24:32,negatif,,
Yang lupa password bagaimana ya di apk tidak klik lupa password,3,2024-11-26 10:59:29,negatif,,
Saya rasa di mohon untuk evaluasi terkait sirekap.jangan mempersulit kita.sistem sama saja seperti pilper. Tidak ada pembenahan sama sekali. Terkendala di upload daftar hadir nyiksa. Antal antalan,1,2024-11-26 08:58:47,negatif,,
Masuk sekali,3,2024-11-26 07:45:41,netral,,
"Selama Bimtek dan Produjinasional2 sih aman tapi gatau nanti pas scan setelah penghitungan suara bakal bisa apa enggak, semoga aja bisa dan lancar.",5,2024-11-26 07:30:04,positif,,
Siap,4,2024-11-26 06:55:24,netral,,
Versi baru lebih gampang membaca angka,5,2024-11-26 06:31:25,positif,,
🙏🏼,5,2024-11-26 04:12:20,netral,,
"Aplikasinya macet. Penyimpanan banyak, sinyal full kuota besar. Tetep mandeg di submit",1,2024-11-26 03:36:41,negatif,,
Sedang dugunakan,5,2024-11-26 03:36:16,netral,,
Apk badut tidak bisa di andalkan mending di tiadakan saja,1,2024-11-25 16:13:25,negatif,,
Aplikasi ngeleg buka camera ngelag masa kalah ama hp samsung j2prime,1,2024-11-25 14:03:38,negatif,,
Sangat membantu suatu pekerjaan,5,2024-11-25 13:13:01,positif,,
bikin susah,3,2024-11-25 11:08:33,negatif,,
Transport kenapa bisa gitu sih pelantikan sama bimtek,1,2024-11-25 10:56:52,netral,,
"Kesel dikit, ruang penyimpanan masih 9GB tp masih aj gagal kunci dokumen daftar hadir segala macam. Tapi harapanku semoga hari H nya dilancarkan.",3,2024-11-25 10:06:04,negatif,,
Klo udah di kunci ga bisa di Edit tiap bimtek harus hapus data APK KAYA GINI DI PAKE SAMA NEGARA_ BUKAN NYA DI PERMUDAH DI PERSULIT,1,2024-11-25 10:02:04,negatif,,
Bagus,5,2024-11-25 08:20:20,positif,,
Membantu kita saat pemilu,5,2024-11-25 07:57:09,positif,,
Bagus,5,2024-11-25 07:50:22,positif,,
Bagus sekali,5,2024-11-25 06:36:51,positif,,
"Aplikasi ngak ngotak, masuk aja susah👎",1,2024-11-25 05:15:08,negatif,,
Ok,5,2024-11-25 00:45:04,positif,,
TOLONG LAH . SEKELAS PEMERINTAH MEMBUAT APLIKASI JANGAN ABAL ABAL. SERVER SERING DOWN. ANGGARAN KALIAN CUKUP BESAR.,1,2024-11-25 00:27:38,negatif,,
Kren,5,2024-11-24 23:25:07,positif,,
Jeleeeek Banget aplikasi nya,1,2024-11-24 23:06:20,negatif,,
Good,5,2024-11-24 18:32:19,positif,,
👍👍👍👍👍👍👍,1,2024-11-24 17:08:11,netral,,
Punya saya alhamdulillah aman2 saja,4,2024-11-24 17:01:29,positif,,
"Aplikasi kocak, tadinya bisa login eh jadi gabisa lagi wkwkwk anggaran besar aplikasi parah",1,2024-11-24 14:57:50,negatif,,
"Saya ikut ujibeban nasional terjadi masalah ketika c.hasil dan upload berkas lainnya sudah 100% persen dan sudah dibuat salinan untuk pps dan pkk kemudian muncul notif gagal unggah padahal tadinya berhasil diunggah dan sudah 100% jadi 85%, ketika aplikasi memunculkan opsi unggah ulang kemudian diklik masa tiba"" muncul notif berkas sudah pernah diunggah sebelumnya dari server padahal diaplikasi menunjukkan progresnya masih terakhir 85%, smg dvlopr mliht ini karena bsa sangat mengnggu klw di hri H",1,2024-11-24 14:09:18,negatif,,
Unggah berkas pdf nya gagal terus gimana pa solusinya,2,2024-11-24 13:45:40,negatif,,
"Setelah melakukan beberapa kali uji coba dan uji beban server, apk masih lambat menerima hasil kerja KPPS di kirim hasilnya ke OP, Server masih lemah.",3,2024-11-24 12:40:09,negatif,,
baru uji beban tingkat nasional aj udh ancur parah😡,1,2024-11-24 12:20:43,negatif,,
Gk bisa update,1,2024-11-24 10:53:11,negatif,,
"aplikasi pembodohan, update kok smpai 6x, udh gitu lemot,",1,2024-11-24 10:48:44,negatif,,
Maksain,1,2024-11-24 10:38:52,negatif,,
Muter we hayo,1,2024-11-24 09:58:26,negatif,,
Masih sering force close saat unduh berkas daftar hadir dan C-Hasil,1,2024-11-24 09:24:00,negatif,,
-9999 aura,1,2024-11-24 09:20:02,netral,,
Tidak bisa menggambil gambar/foto setelah di update ke 2.73 (Sebelumnya berfungsi di ver 2.71),1,2024-11-24 09:13:25,negatif,,
Apk Heng gda krmajuan,1,2024-11-24 08:43:22,negatif,,
Aplikasi tidak jelas,1,2024-11-24 08:22:33,negatif,,
"Masih banyak masalah, hari ini (minggu)yang seharusnya buat cek ,dan memakai sesi produjinasional2,malah ndak bisa masuk",3,2024-11-24 08:10:59,negatif,,
bgus,5,2024-11-24 08:10:06,positif,,
👍👍👍,5,2024-11-24 07:57:07,netral,,
Bagus,5,2024-11-24 07:49:40,positif,,
Aplikasi yang sangat kutng berguna dan menambah beban fikiran saja.. Sistrmmasih bobrok pembacaan angka sangat amat tidk mumpuni .. Hapuskan sitekap,1,2024-11-24 07:23:19,negatif,,
Ok,5,2024-11-24 07:04:08,positif,,
Mantab.....,5,2024-11-24 06:21:54,positif,,
Diuji teros gak gedein alokasi servernya malah capek jadi kpps sirekap suruh uji teros,1,2024-11-24 05:48:32,negatif,,
"Semua lancar jaya, tapi pas mau dibikin pdf selalu muncul "" sesi waktu sdh habis "" dan balik ke awal masukan email dll.gitu aja terus sampe ike nurjanah ngeluarin album baru",2,2024-11-24 05:43:44,positif,,
Aplikasi yang sangay bagus sekali.. minim kecurangan... mantap prabowo,5,2024-11-24 05:30:04,positif,,
Gak bisa update,1,2024-11-24 03:15:58,negatif,,
Apalah apk negara kok eror² mulu,1,2024-11-24 03:08:29,negatif,,
Buat kamera lelet bgt. Tolong di perbaiki agar mempermudah kita dalam bekerja,1,2024-11-24 02:53:35,negatif,,
Tidak bisa di update,1,2024-11-24 02:04:17,negatif,,
Semoha tidak ada halaman di hari H,1,2024-11-24 01:12:46,negatif,,
Kenapa saya tidak masuk terus menerus kata sandi salah,3,2024-11-24 00:15:44,negatif,,
Untuk akunnya sih bagus. Tapi server atau loginya agak lambat..👍🙏,3,2024-11-24 00:01:44,negatif,,
Mantap dan sukses Pilgub dan pilkada 2024,5,2024-11-23 23:33:04,positif,,
Jelek,2,2024-11-23 23:27:09,negatif,,
Gimna solusi atasi ngak bisa d submit?,3,2024-11-23 20:50:32,negatif,,
Sirekap praktis ekonomis,5,2024-11-23 20:42:21,positif,,
Kok gini banget ya sudah bisa login gagal lagi susah mulai jam 6 sampai jam 23 blm bisa login nyusahin banget,1,2024-11-23 16:51:38,negatif,,
"Gimana ini ga bisa di submit, waktu udah mau mepet!!!!!!!!!!!!!!!!!!!!!!!!!!! Udah di hapus berapa kali juga tetep sama",1,2024-11-23 16:15:56,negatif,,
Aplikasi nya susah di update aneh,2,2024-11-23 13:57:15,negatif,,
konbnayak update... aplikasinya,1,2024-11-23 13:50:21,netral,,
Ga bisa instal,5,2024-11-23 12:33:28,negatif,,
Kalau lupa password gimana cara merubahnya.. Karena tidak ada menu LUPA PASSWORD,3,2024-11-23 12:12:44,negatif,,
"Ini bintang satu sudah cukup Alhamdulillah ya, kenapa sekarang servernya malah lemot, macet dan selancar yang dulu sih.",1,2024-11-23 11:38:43,negatif,,
Biarkan bintang yang menilai 👍,5,2024-11-23 10:39:06,netral,,
"sudah di uji coba. semuanya lancar. tapi pas selesai unggah, tidak ada menu share. jadi pekerjaannya sampai 85 % saja karna belum share.",1,2024-11-23 10:18:37,negatif,,
semoga lancar tidak ada masalah apapun,2,2024-11-23 10:09:27,netral,,
"Hai dev, tolong perhatikan kita dipelosok indonesia timur yang koneksi internetnya tidak memadai ini juga donk!! kalau aplikasi ini anda pasangi TIMEOUT ya otomatis saat hari H kita tidak akan bisa bekerja",3,2024-11-23 06:39:14,negatif,,
Oke,5,2024-11-23 06:30:12,positif,,
Ribet kebanyakan ganti-ganti profil jadi bermasalah apk nya 👎,1,2024-11-23 05:28:10,negatif,,
cukup mudah digunakan semoga tdk ada kendala pada hari H,2,2024-11-23 05:05:36,positif,,
Apa ada Cara untuk Mereset password. Ada beberapa pengguna sirekap Lupa password nya untuk login,1,2024-11-23 04:29:46,netral,,
g bisa buat update....,3,2024-11-23 04:24:31,negatif,,
"cuman berhenti di submit, gak bisa masuk lebih lanjut",1,2024-11-23 03:51:16,negatif,,
ga bisa submit terus,1,2024-11-23 03:36:43,negatif,,
mantap,5,2024-11-23 03:19:09,positif,,
Aplikasi yang bagus,5,2024-11-23 03:08:42,positif,,
Untuk uji coba lebih baik untu walikotakota dan gubernur,4,2024-11-23 03:01:38,positif,,
Butut,1,2024-11-23 02:56:26,negatif,,
Kenapa apk ini tidak tidak bisa terpasang setelah diupdate,1,2024-11-23 02:39:29,negatif,,
Aplikasi kalo foto tidak membaca kemudian ditimpa foto malah angka semakin error. Banyak temen temen kpps mengelu banyak uji coba sementara biaya untuk kuota dan oprasional tidak ada. Dengan gaji kpps yang sedikit dirasa mereka rugi mingkin. Makanya banyam mengeluh tentang uji coba yang tetlalu banyak.,5,2024-11-23 01:26:27,negatif,,
GK bisa di update v 2.73,3,2024-11-23 00:36:35,negatif,,
"Gk bisa di update, di download pun gk bisa",1,2024-11-22 23:01:29,negatif,,
Baik,5,2024-11-22 15:19:16,positif,,
Sering error,1,2024-11-22 12:42:26,negatif,,
Agar di permudah untuk login,5,2024-11-22 10:56:29,netral,,
hadeuh nyusahin aja. sampai riset hp udh ngelakuin cara ini itu ttep gbisa login. untuk kedepan saran jangan pake sirekap aja. kalo nyusahin buat apa ? mending kek dulu manual aja udah kalo mau pake aplikasi jangan sampai pake tangan buat isi kertas. apk apk kertas ya kertas,1,2024-11-22 10:13:19,negatif,,
Gusti apk macam apa ini gustiiii,1,2024-11-22 09:55:36,negatif,,
Pake ini bikin pusing tujuh keliling karna sistem,5,2024-11-22 09:44:46,negatif,,
Aplikasi ini setidaknya dibuat oleh orang orang berpengalaman dan ahli dibidangnya...tp baru lupa pasword aja..sudah kesulitan cari solusinya.,2,2024-11-22 07:34:33,negatif,,
Mantap,4,2024-11-22 06:29:10,positif,,
sangat membantu,3,2024-11-22 05:51:02,positif,,
Bagus,5,2024-11-22 05:11:10,positif,,
GX bisa submit,4,2024-11-22 04:59:43,negatif,,
"Aplikasi nya ya ampun gimana mau maju negara kalo kayak gini tolong lah apk nya di perbaiki lagi masak gak bisa berfungsi gagal Mulu ngirim data ,,",1,2024-11-22 04:39:52,negatif,,
"sangat membantu,pada saat rekapitulasi perhitungan suara",5,2024-11-22 03:47:20,positif,,
Bagus,5,2024-11-22 03:04:01,positif,,
Aplikasinya gini amat ya??? Macetnya minta ampun,1,2024-11-22 00:36:50,negatif,,
"Sudah berkali kali nyoba buat login gak bisa"" uninstal berkali"" pun tetep hasile sama gak bisa masuk lagi. Udah masuk tinggal submit gak bisa diklik",1,2024-11-21 23:59:03,negatif,,
"Akurat, Cepat, terpercaya",5,2024-11-21 23:47:07,positif,,
Sangat membantu dalam menyelesaikan sirekap,5,2024-11-21 22:59:18,positif,,
"Gak bisa di akses. Sudah donwload mau login eh stuck di submit mulu, udah hapus cache, udah uninstall brapa kali trus donwload lagi ttap saja bgitu",1,2024-11-21 22:55:25,negatif,,
"Pasword invalid terus, padahal sudah save otomatis, ketik ulang juga masih invalid, tolong di jawab email saya min",2,2024-11-21 22:55:07,negatif,,
Bikin pusing di utak atik terus,1,2024-11-21 22:20:31,negatif,,
Good,5,2024-11-21 22:02:24,positif,,
"Awalnya apk bisa, trs pas log in kembali tidak bisa masuk. Untuk kalian yg seperti saya sampai hapus cache, uninstal dan download lg tp tidak bisa masuk/log in bahkan sampai restart hp. Dengan syarat tidak lupa username dan pw silahkan hubungi orang yang bertugas mengenai sirekap di kelurahan anda. Agar segera di buatkan akun baru. Alhamdulillah saya langsung dibuatkan baru dan bisa kembali. Jika sdh ok, jgn hapus cache apk agar terus tersimpan data loginnya. Kalau udh ok apknya jgn di otak-atik",3,2024-11-21 20:26:19,negatif,,
"Memang dari segi proses lebih cepat dari sebelumnya. Tapi waktu ngepas foto kertas masih lemot banget sinkronisasi nya. Jadi sulit untuk ngepas batas garis sama kodenya, harus ngulang beberapa kali.",2,2024-11-21 17:27:00,negatif,,
aplikasi berjalan normal di jaringan yang stabil.,5,2024-11-21 17:03:27,positif,,
"Uji coba aja udah bikin pusing. Photo harus kotak kecil berwarna hijau. Sudah hijau, eh masih g bisa juga. Nyoba sampe 10x lebih hasilnya sama aja. Gimana ntr pas pilkada sama pilgub.",1,2024-11-21 16:15:14,negatif,,
loading huhhhh,2,2024-11-21 16:14:48,negatif,,
Tidak dapat di update,1,2024-11-21 16:09:25,negatif,,
Yaa gitulah!,1,2024-11-21 14:55:30,netral,,
Lemot,1,2024-11-21 14:15:44,negatif,,
Lemot,1,2024-11-21 14:12:57,negatif,,
"Percuma di update klo kendala masih sama. Gabisa unggah dokumen, loading lelet",1,2024-11-21 13:54:49,negatif,,
"Aplikasi aneh, dah 100% status pengerjaannya, tapi gara"" ada satu foto yang miring datanya gak di verifikasi, padahal fotonya kalau di zoom masih terlihat jelas angka dan hurufnya",1,2024-11-21 13:20:51,negatif,,
Ok,5,2024-11-21 13:09:56,positif,,
Ok,5,2024-11-21 13:01:45,positif,,
Good,5,2024-11-21 12:54:54,positif,,
Pekerjaan lama banget. Seharusnya bisa lebih cepat. Saangat dsisaayangkan server tidaak siap.,1,2024-11-21 12:27:00,negatif,,
Masa di android versi 14 dak bisa login,2,2024-11-21 12:10:11,negatif,,
Aplikasi yang sangat membantu kpu,5,2024-11-21 12:05:41,positif,,
"Menu lupa password tolong ditambah, gk bisa login ini",1,2024-11-21 11:59:46,negatif,,
Namanya juga aplikasi pemerintah ya buk ya Kira-kira berapa milyar ini biayanya ya?,1,2024-11-21 11:51:28,netral,,
"lagi coba di update,smoga bisa berfungsi dengan baik pada saat tgl 27 - 11 - 2024 nanti.",2,2024-11-21 11:48:40,positif,,
"Jangan error mulu dong min, aelah",5,2024-11-21 11:47:10,negatif,,
Sangat membantu,4,2024-11-21 11:38:39,positif,,
Susah unggah berkas pdf,1,2024-11-21 11:11:21,negatif,,
"Baguss, sangat mudah dipahami. Namun tolong diupgrade lagii min. Dulu versi 2.71 di hp saya bisa masuk, tapi skrg pake versi 2.73 tidak bisa masuk.",4,2024-11-21 11:06:31,negatif,,
"Setelah aplikasi tertutup, gak bisa lg dibuka katanya salah password, padahal sdh saya simpan passwordnya gak mungkin salah",1,2024-11-21 11:05:03,negatif,,
Ribet,1,2024-11-21 10:38:43,negatif,,
Tolong di lancarkan apknya ada yang bisa ada yang tidak gimana ini,1,2024-11-21 10:03:44,negatif,,
Sanagat membantu pekerjaan kami sebagai seorang sirekaa,5,2024-11-21 10:02:06,positif,,
Dari segi penampilan biasa aja dan selalu terkendala dalam upload berkas......trims,1,2024-11-21 09:58:45,negatif,,
Lumayan,5,2024-11-21 09:52:16,netral,,
Pempersulit kinerja teman sirekap,1,2024-11-21 09:45:55,negatif,,
aplikasi abal-abal,1,2024-11-21 09:34:02,negatif,,
"Aplikasinya mohon di fix ulang, saat login muncul error connection failed port:443",1,2024-11-21 09:30:38,negatif,,
"Bikin aplikasi gini aja gak becus, banyak bgt kendalanya",1,2024-11-21 09:28:19,negatif,,
Bsik,5,2024-11-21 09:28:10,positif,,
"APLIKASI ERROR MELULU, KOPLAK!",1,2024-11-21 09:23:58,negatif,,
"Gini aja terus tiap pemilihan,saya kasih bintang 1",1,2024-11-21 09:22:23,negatif,,
Aplikasi lemot,1,2024-11-21 09:16:03,negatif,,
Aplikasi paling buruk paling ga niat developer nya juga gajelas padahal ini untuk negara loh masa aplikasi nya ga niat sih,1,2024-11-21 09:14:43,negatif,,
Ok,5,2024-11-21 09:10:19,positif,,
Ribet kon,1,2024-11-21 09:00:12,negatif,,
Bukan mempermudah malah menghambat kerja,1,2024-11-21 08:56:29,negatif,,
👍,5,2024-11-21 08:54:58,netral,,
lieuuuuur,1,2024-11-21 08:52:39,negatif,,
"Server down. Tolong perbaiki, pake hosting yg mahal dong.",1,2024-11-21 08:50:20,negatif,,
"sulit dipakai, banyak bug",1,2024-11-21 08:47:27,negatif,,
Gak bisa di updet,2,2024-11-21 08:42:13,negatif,,
Apk butuh server yang lebih besar agar tidak lemot,1,2024-11-21 08:34:55,negatif,,
Gilo alang kesaronyooooooo,1,2024-11-21 08:30:14,negatif,,
Sirekap masih tetap sudah dipakai,1,2024-11-21 08:08:40,netral,,
Beres sekali😀,5,2024-11-21 08:07:11,positif,,
"YG BIKIN APLIKASI MAU MAU ENGGA ENGGA, BIKIN SUSAH KPPS AJA, DANA PILKADA GEDE, MASA GA MAMPU BAYAR ENGINERING/PROGRAMER YG MUMPUNI, YG BISA KERJA.. APLIKASI KEK GINI GA USAH DI PAKE BIKIN SUSAH DAN PUYENG KPPS AJA... LOL",1,2024-11-21 08:01:57,negatif,,
Mohon untuk segera di evaluasi system sering Innalilahi wainnailaihi Raji'un 🙆,1,2024-11-21 08:01:43,negatif,,
Semangat kerjanya buat teknisi software & pengelola server,1,2024-11-21 07:55:34,positif,,
Masukan ! Tolong apk nya di lancarkan keseluruhan demi kebaikan bersama,2,2024-11-21 07:24:23,positif,,
Belum bisa update aplikasi,5,2024-11-21 07:16:31,negatif,,
Mantob,5,2024-11-21 07:08:19,netral,,
ok,5,2024-11-21 07:04:47,positif,,
aplikasi bapuk,1,2024-11-21 07:03:24,negatif,,
"Kl tdk demi tangung jwb , malas instal app ni, muhmed login login melulu prosesnya lama gk berhasil jg",1,2024-11-21 07:01:21,negatif,,
"aplikasi banyak bug, bikin pusing yang pake....",1,2024-11-21 07:00:01,negatif,,
Baguss,5,2024-11-21 06:51:26,positif,,
