content,score,label
"Ganti dari bintang 1 ke bintang 4 karena banyak perkembangan di aplikasi ini, pas pemilu kemarin jelek bgt banyak kendala tapi di pilkada kali ini udah bagus aplikasi lancar paling beberapa kali gagal upload berkas tapi masih bisa di atasi, semoga pemilu selanjutnya makin bagus dan gak usah ganti dan buat aplikasi baru buang buang anggaran, pertahanin yang ini dan kembangin biar makin mudah aja",4,Positif
"Kira kira, kalau yg versi 2.71 yg Sdh di rekap, apa bisa datanya login otomatis ke 2.73 ? Ijin petunjuk 🙏",2,Negatif
Sebelum nya lancar lancar aja tidak ada kendali tapi setelah hari H mau unggah yg pdf nya gagal terus,4,Netral
Oke,5,Positif
🗿,1,Negatif
"Min tolong punya saya, tinggal upload berkas daftar hadir, tapi saya tinggal sampai sekarang udah 13 jam masih belum bisa juga di upload, tampilan tetap sama dengan saya terakhir upload, udah saya coba pakai WiFi & Data tapi juga belum bisa Penyimpanan saya juga masih 10gb Tolong min di perbaiki🙏🏽🙏🏽",2,Negatif
"Istimewa beritanya, jelas dan akurat",5,Positif
"aplikasi kntol nyusahin kpps, developer TOLOL",1,Negatif
Steady,5,Positif
"Aplikasinya kurang stabil, scanner camera juga kurang bagus, suka ngelag ngelag, sarannya agar ada pilihan upload terutama untuk daftar hadir dan tanda terima dan kejadian khusus karena dengan scanner yang tidak stabil seperti ini cukup sulit menangkap gambar yang bagus",1,Negatif
selalu menyusahkan yg bawah,1,Negatif
Aplikasi nya Bapuk..!!!,1,Negatif
"Bug buat dokumen lama dan foto halaman 2 capres tidak bisa buka ( edit sdh ada kemajuan aplikasinya, saran untuk server BW nya di perbesar agar bisa upload cepat)",3,Netral
"Terkendala di unggah daftar hadir, tolonglah di benahi lagi aplikasinya. Hasil kamera sirekap buram dan kurang stabil saat pengambilan foto c hasil dll di malam hari, lebih bagusnya pakai kamera bawaan hp saja saat pengambilan foto.",1,Negatif
Good,5,Positif
"Eh tolong dong susah banget ini mau Upload, kenapa ya sekali gagal itu gak bisa lagi. Sudah banget padhal misalkan upload Dokumen lain itu bisa.",1,Negatif
wadalah ada error. reinstall APP malah dari 0 lagi 🗿🗿 blok... pdhl udh di kunci dan dikirim semua berkasnya. tinggal dibagian absen dptnya saja yang error. asli malah nyusahin ngent,1,Negatif
"Tolong benahi kinerja sistemnya dlu, jangan kayak proyek yang sifatnya yang penting jadi, masa iya sebelum2 tahun pemilu atau pilkada persiapannya gitu2 aja buat aplikasi ini apalagi nanti 2029 wkwkw buat kunci dan upload aja lama",1,Negatif
"Tidak ada perubahan, selalu salah membaca angka, server selalu keteteran, niatnya mempermudah&mempercepat tapi malah mempersulit",1,Negatif
Smg bermanfaat,5,Positif
"Kagak jelas,keseringan gagal upload file daftar hadir sampe nyoba 25 kali",1,Negatif
"tolong dong di perbagus lagii , saya mau unggah daftar hadirr susah banget",3,Netral
Eror terusss,3,Netral
"mau upload daftar hadir susah amat, gagal mulu, malah memperlambat pekerjaan, segini doang nih aplikasi dr APBN?!!",1,Negatif
"Tolong untuk tambahkan fitur unduh data, agar kalau tidak sengaja kehapus data bisa di unduh lagi. Jadi berkas yang sudah di kunci lalu di unggah kalau ga sengaja kehapus data bisa dipulihkan kembali, itu akan sangat membantu untuk operator yang ada masalah.",5,Negatif
"Aplikasi bapuk banyak bug saat pengambilan photo selalu lag, kemudian ketika sudah beres semua gak bisa upload pdf minimal setelah update lebih bagus ini malah lebih buruk😫👎👎",2,Negatif
Pas hari H nya unggah data daftar hadir tidak bisa error mulu😥,4,Negatif
Aplikasi cacat,1,Negatif
Apk mempersulit tidak mempermudah,1,Negatif
Banyak bug,1,Negatif
Apk ga jelas ngunggah aja lama . Lemah,1,Negatif
Gagal terus,1,Negatif
Hapus nya gaguna sangat bagus kalo tidak ada,1,Negatif
Mantap,5,Positif
"Aplikasi busuk , kebanyakan di korupsi ya gini Login aja susah",1,Negatif
Sangat membantu dan mudah di gunakan.,5,Positif
"aplikasi pemerintah masih jauh kualitasnya sama online shop, padahal yg pake cuma 1 hari doang",4,Negatif
Sangat membantu,1,Negatif
Ajib,5,Positif
"username betul, password betul, saat submit masuk gak bisa. duuh repot banget",2,Negatif
"Aplkasi burik...sangat susah untuk didownload.....ditambah lagi pas unggah berkas sangat susah.......... Yg buat aplikasih ini lebih baik di hapus sj....lebih baik pake manual......yg dulu pake manual sj pemilu berjalan lancar....sekarang malah pake aplikasi buat tambah ribet di tambah lagi aplikasih yg tdk berguna ini.....aplikasi sangat burik...buang"" pulsa data",1,Negatif
"Gak bisa login, diperlukan otentikasi yg gak tau harus nyari dimana otentikasi nya, karna gak ada dapat chat wa atau melalui email untuk kode otentikasi",5,Negatif
Mantap,3,Positif
Saya mau masuk aplikasi sirekapAplena Sumuai,1,Negatif
Tolong diperbaiki saya tidak bisa login semoga semua orang tidak curiga bahwasanya database di otakatik,5,Negatif
Buruk,1,Negatif
Bismillah lancar,3,Positif
Lupa sandi sirekap gimana solusinya min😭😭😭😭,5,Netral
mantap,5,Positif
"Mohon untuk di perbaiki lagi sitemnya, kadang ngeleg",3,Netral
Yang lupa password bagaimana ya di apk tidak klik lupa password,3,Netral
Saya rasa di mohon untuk evaluasi terkait sirekap.jangan mempersulit kita.sistem sama saja seperti pilper. Tidak ada pembenahan sama sekali. Terkendala di upload daftar hadir nyiksa. Antal antalan,1,Negatif
Masuk sekali,3,Netral
"Selama Bimtek dan Produjinasional2 sih aman tapi gatau nanti pas scan setelah penghitungan suara bakal bisa apa enggak, semoga aja bisa dan lancar.",5,Positif
Siap,4,Positif
Versi baru lebih gampang membaca angka,5,Positif
🙏🏼,5,Positif
"Aplikasinya macet. Penyimpanan banyak, sinyal full kuota besar. Tetep mandeg di submit",1,Negatif
Sedang dugunakan,5,Netral
Apk badut tidak bisa di andalkan mending di tiadakan saja,1,Negatif
Aplikasi ngeleg buka camera ngelag masa kalah ama hp samsung j2prime,1,Negatif
Sangat membantu suatu pekerjaan,5,Positif
bikin susah,3,Negatif
Transport kenapa bisa gitu sih pelantikan sama bimtek,1,Negatif
"Kesel dikit, ruang penyimpanan masih 9GB tp masih aj gagal kunci dokumen daftar hadir segala macam. Tapi harapanku semoga hari H nya dilancarkan.",3,Netral
Klo udah di kunci ga bisa di Edit tiap bimtek harus hapus data APK KAYA GINI DI PAKE SAMA NEGARA_ BUKAN NYA DI PERMUDAH DI PERSULIT,1,Negatif
Bagus,5,Positif
Membantu kita saat pemilu,5,Positif
Bagus,5,Positif
Bagus sekali,5,Positif
"Aplikasi ngak ngotak, masuk aja susah👎",1,Negatif
Ok,5,Positif
TOLONG LAH . SEKELAS PEMERINTAH MEMBUAT APLIKASI JANGAN ABAL ABAL. SERVER SERING DOWN. ANGGARAN KALIAN CUKUP BESAR.,1,Negatif
Kren,5,Positif
Jeleeeek Banget aplikasi nya,1,Negatif
Good,5,Positif
👍👍👍👍👍👍👍,1,Negatif
Punya saya alhamdulillah aman2 saja,4,Positif
"Aplikasi kocak, tadinya bisa login eh jadi gabisa lagi wkwkwk anggaran besar aplikasi parah",1,Negatif
"Saya ikut ujibeban nasional terjadi masalah ketika c.hasil dan upload berkas lainnya sudah 100% persen dan sudah dibuat salinan untuk pps dan pkk kemudian muncul notif gagal unggah padahal tadinya berhasil diunggah dan sudah 100% jadi 85%, ketika aplikasi memunculkan opsi unggah ulang kemudian diklik masa tiba"" muncul notif berkas sudah pernah diunggah sebelumnya dari server padahal diaplikasi menunjukkan progresnya masih terakhir 85%, smg dvlopr mliht ini karena bsa sangat mengnggu klw di hri H",1,Negatif
Unggah berkas pdf nya gagal terus gimana pa solusinya,2,Negatif
"Setelah melakukan beberapa kali uji coba dan uji beban server, apk masih lambat menerima hasil kerja KPPS di kirim hasilnya ke OP, Server masih lemah.",3,Netral
baru uji beban tingkat nasional aj udh ancur parah😡,1,Negatif
Gk bisa update,1,Negatif
"aplikasi pembodohan, update kok smpai 6x, udh gitu lemot,",1,Negatif
Maksain,1,Negatif
Muter we hayo,1,Negatif
Masih sering force close saat unduh berkas daftar hadir dan C-Hasil,1,Negatif
-9999 aura,1,Negatif
Tidak bisa menggambil gambar/foto setelah di update ke 2.73 (Sebelumnya berfungsi di ver 2.71),1,Negatif
Apk Heng gda krmajuan,1,Negatif
Aplikasi tidak jelas,1,Negatif
"Masih banyak masalah, hari ini (minggu)yang seharusnya buat cek ,dan memakai sesi produjinasional2,malah ndak bisa masuk",3,Netral
bgus,5,Positif
👍👍👍,5,Positif
Bagus,5,Positif
Aplikasi yang sangat kutng berguna dan menambah beban fikiran saja.. Sistrmmasih bobrok pembacaan angka sangat amat tidk mumpuni .. Hapuskan sitekap,1,Negatif
Ok,5,Positif
Mantab.....,5,Positif
Diuji teros gak gedein alokasi servernya malah capek jadi kpps sirekap suruh uji teros,1,Negatif
"Semua lancar jaya, tapi pas mau dibikin pdf selalu muncul "" sesi waktu sdh habis "" dan balik ke awal masukan email dll.gitu aja terus sampe ike nurjanah ngeluarin album baru",2,Negatif
Aplikasi yang sangay bagus sekali.. minim kecurangan... mantap prabowo,5,Positif
Gak bisa update,1,Negatif
Apalah apk negara kok eror² mulu,1,Negatif
Buat kamera lelet bgt. Tolong di perbaiki agar mempermudah kita dalam bekerja,1,Negatif
Tidak bisa di update,1,Negatif
Semoha tidak ada halaman di hari H,1,Negatif
Kenapa saya tidak masuk terus menerus kata sandi salah,3,Netral
Untuk akunnya sih bagus. Tapi server atau loginya agak lambat..👍🙏,3,Netral
Mantap dan sukses Pilgub dan pilkada 2024,5,Positif
Jelek,2,Negatif
Gimna solusi atasi ngak bisa d submit?,3,Netral
Sirekap praktis ekonomis,5,Positif
Kok gini banget ya sudah bisa login gagal lagi susah mulai jam 6 sampai jam 23 blm bisa login nyusahin banget,1,Negatif
"Gimana ini ga bisa di submit, waktu udah mau mepet!!!!!!!!!!!!!!!!!!!!!!!!!!! Udah di hapus berapa kali juga tetep sama",1,Negatif
Aplikasi nya susah di update aneh,2,Negatif
konbnayak update... aplikasinya,1,Negatif
Ga bisa instal,5,Negatif
Kalau lupa password gimana cara merubahnya.. Karena tidak ada menu LUPA PASSWORD,3,Netral
"Ini bintang satu sudah cukup Alhamdulillah ya, kenapa sekarang servernya malah lemot, macet dan selancar yang dulu sih.",1,Negatif
Biarkan bintang yang menilai 👍,5,Positif
"sudah di uji coba. semuanya lancar. tapi pas selesai unggah, tidak ada menu share. jadi pekerjaannya sampai 85 % saja karna belum share.",1,Negatif
semoga lancar tidak ada masalah apapun,2,Negatif
"Hai dev, tolong perhatikan kita dipelosok indonesia timur yang koneksi internetnya tidak memadai ini juga donk!! kalau aplikasi ini anda pasangi TIMEOUT ya otomatis saat hari H kita tidak akan bisa bekerja",3,Netral
Oke,5,Positif
Ribet kebanyakan ganti-ganti profil jadi bermasalah apk nya 👎,1,Negatif
cukup mudah digunakan semoga tdk ada kendala pada hari H,2,Negatif
Apa ada Cara untuk Mereset password. Ada beberapa pengguna sirekap Lupa password nya untuk login,1,Negatif
g bisa buat update....,3,Negatif
"cuman berhenti di submit, gak bisa masuk lebih lanjut",1,Negatif
ga bisa submit terus,1,Negatif
mantap,5,Positif
Aplikasi yang bagus,5,Positif
Untuk uji coba lebih baik untu walikotakota dan gubernur,4,Positif
Butut,1,Negatif
Kenapa apk ini tidak tidak bisa terpasang setelah diupdate,1,Negatif
Aplikasi kalo foto tidak membaca kemudian ditimpa foto malah angka semakin error. Banyak temen temen kpps mengelu banyak uji coba sementara biaya untuk kuota dan oprasional tidak ada. Dengan gaji kpps yang sedikit dirasa mereka rugi mingkin. Makanya banyam mengeluh tentang uji coba yang tetlalu banyak.,5,Negatif
GK bisa di update v 2.73,3,Negatif
"Gk bisa di update, di download pun gk bisa",1,Negatif
Baik,5,Positif
Sering error,1,Negatif
Agar di permudah untuk login,5,Negatif
hadeuh nyusahin aja. sampai riset hp udh ngelakuin cara ini itu ttep gbisa login. untuk kedepan saran jangan pake sirekap aja. kalo nyusahin buat apa ? mending kek dulu manual aja udah kalo mau pake aplikasi jangan sampai pake tangan buat isi kertas. apk apk kertas ya kertas,1,Negatif
Gusti apk macam apa ini gustiiii,1,Negatif
Pake ini bikin pusing tujuh keliling karna sistem,5,Negatif
Aplikasi ini setidaknya dibuat oleh orang orang berpengalaman dan ahli dibidangnya...tp baru lupa pasword aja..sudah kesulitan cari solusinya.,2,Negatif
Mantap,4,Positif
sangat membantu,3,Positif
Bagus,5,Positif
GX bisa submit,4,Negatif
"Aplikasi nya ya ampun gimana mau maju negara kalo kayak gini tolong lah apk nya di perbaiki lagi masak gak bisa berfungsi gagal Mulu ngirim data ,,",1,Negatif
"sangat membantu,pada saat rekapitulasi perhitungan suara",5,Positif
Bagus,5,Positif
Aplikasinya gini amat ya??? Macetnya minta ampun,1,Negatif
"Sudah berkali kali nyoba buat login gak bisa"" uninstal berkali"" pun tetep hasile sama gak bisa masuk lagi. Udah masuk tinggal submit gak bisa diklik",1,Negatif
"Akurat, Cepat, terpercaya",5,Positif
Sangat membantu dalam menyelesaikan sirekap,5,Positif
"Gak bisa di akses. Sudah donwload mau login eh stuck di submit mulu, udah hapus cache, udah uninstall brapa kali trus donwload lagi ttap saja bgitu",1,Negatif
"Pasword invalid terus, padahal sudah save otomatis, ketik ulang juga masih invalid, tolong di jawab email saya min",2,Negatif
Bikin pusing di utak atik terus,1,Negatif
Good,5,Positif
"Awalnya apk bisa, trs pas log in kembali tidak bisa masuk. Untuk kalian yg seperti saya sampai hapus cache, uninstal dan download lg tp tidak bisa masuk/log in bahkan sampai restart hp. Dengan syarat tidak lupa username dan pw silahkan hubungi orang yang bertugas mengenai sirekap di kelurahan anda. Agar segera di buatkan akun baru. Alhamdulillah saya langsung dibuatkan baru dan bisa kembali. Jika sdh ok, jgn hapus cache apk agar terus tersimpan data loginnya. Kalau udh ok apknya jgn di otak-atik",3,Netral
"Memang dari segi proses lebih cepat dari sebelumnya. Tapi waktu ngepas foto kertas masih lemot banget sinkronisasi nya. Jadi sulit untuk ngepas batas garis sama kodenya, harus ngulang beberapa kali.",2,Negatif
aplikasi berjalan normal di jaringan yang stabil.,5,Positif
"Uji coba aja udah bikin pusing. Photo harus kotak kecil berwarna hijau. Sudah hijau, eh masih g bisa juga. Nyoba sampe 10x lebih hasilnya sama aja. Gimana ntr pas pilkada sama pilgub.",1,Negatif
loading huhhhh,2,Negatif
Tidak dapat di update,1,Negatif
Yaa gitulah!,1,Negatif
Lemot,1,Negatif
Lemot,1,Negatif
"Percuma di update klo kendala masih sama. Gabisa unggah dokumen, loading lelet",1,Negatif
"Aplikasi aneh, dah 100% status pengerjaannya, tapi gara"" ada satu foto yang miring datanya gak di verifikasi, padahal fotonya kalau di zoom masih terlihat jelas angka dan hurufnya",1,Negatif
Ok,5,Positif
Ok,5,Positif
Good,5,Positif
Pekerjaan lama banget. Seharusnya bisa lebih cepat. Saangat dsisaayangkan server tidaak siap.,1,Negatif
Masa di android versi 14 dak bisa login,2,Negatif
Aplikasi yang sangat membantu kpu,5,Positif
"Menu lupa password tolong ditambah, gk bisa login ini",1,Negatif
Namanya juga aplikasi pemerintah ya buk ya Kira-kira berapa milyar ini biayanya ya?,1,Negatif
"lagi coba di update,smoga bisa berfungsi dengan baik pada saat tgl 27 - 11 - 2024 nanti.",2,Negatif
"Jangan error mulu dong min, aelah",5,Negatif
Sangat membantu,4,Positif
Susah unggah berkas pdf,1,Negatif
"Baguss, sangat mudah dipahami. Namun tolong diupgrade lagii min. Dulu versi 2.71 di hp saya bisa masuk, tapi skrg pake versi 2.73 tidak bisa masuk.",4,Netral
"Setelah aplikasi tertutup, gak bisa lg dibuka katanya salah password, padahal sdh saya simpan passwordnya gak mungkin salah",1,Negatif
Ribet,1,Negatif
Tolong di lancarkan apknya ada yang bisa ada yang tidak gimana ini,1,Negatif
Sanagat membantu pekerjaan kami sebagai seorang sirekaa,5,Positif
Dari segi penampilan biasa aja dan selalu terkendala dalam upload berkas......trims,1,Negatif
Lumayan,5,Positif
Pempersulit kinerja teman sirekap,1,Negatif
aplikasi abal-abal,1,Negatif
"Aplikasinya mohon di fix ulang, saat login muncul error connection failed port:443",1,Negatif
"Bikin aplikasi gini aja gak becus, banyak bgt kendalanya",1,Negatif
Bsik,5,Positif
"APLIKASI ERROR MELULU, KOPLAK!",1,Negatif
"Gini aja terus tiap pemilihan,saya kasih bintang 1",1,Negatif
Aplikasi lemot,1,Negatif
Aplikasi paling buruk paling ga niat developer nya juga gajelas padahal ini untuk negara loh masa aplikasi nya ga niat sih,1,Negatif
Ok,5,Positif
Ribet kon,1,Negatif
Bukan mempermudah malah menghambat kerja,1,Negatif
👍,5,Positif
lieuuuuur,1,Negatif
"Server down. Tolong perbaiki, pake hosting yg mahal dong.",1,Negatif
"sulit dipakai, banyak bug",1,Negatif
Gak bisa di updet,2,Negatif
Apk butuh server yang lebih besar agar tidak lemot,1,Negatif
Gilo alang kesaronyooooooo,1,Negatif
Sirekap masih tetap sudah dipakai,1,Negatif
Beres sekali😀,5,Positif
"YG BIKIN APLIKASI MAU MAU ENGGA ENGGA, BIKIN SUSAH KPPS AJA, DANA PILKADA GEDE, MASA GA MAMPU BAYAR ENGINERING/PROGRAMER YG MUMPUNI, YG BISA KERJA.. APLIKASI KEK GINI GA USAH DI PAKE BIKIN SUSAH DAN PUYENG KPPS AJA... LOL",1,Negatif
Mohon untuk segera di evaluasi system sering Innalilahi wainnailaihi Raji'un 🙆,1,Negatif
Semangat kerjanya buat teknisi software & pengelola server,1,Negatif
Masukan ! Tolong apk nya di lancarkan keseluruhan demi kebaikan bersama,2,Negatif
Belum bisa update aplikasi,5,Negatif
Mantob,5,Positif
ok,5,Positif
aplikasi bapuk,1,Negatif
"Kl tdk demi tangung jwb , malas instal app ni, muhmed login login melulu prosesnya lama gk berhasil jg",1,Negatif
"aplikasi banyak bug, bikin pusing yang pake....",1,Negatif
Baguss,5,Positif
"Aplikasinya sangat rumit, terkadang bisa error, susah login dan sebagainya.",1,Negatif
Sangat membantu,5,Positif
Aplikasinya tidak berfungsi dengan baik,1,Negatif
"Aplikasi gak bisa login di suruh pakek.. App kalau belum siap mbokya gak usah pakai aplikasi.. Bikin susah yg kerja aja.. Di suruh uninstall trus hapus data download lagi ttep sama.. Gak bisa login pas pemilihan bimteknya.. Di submit ga jalan.. Pakek hp istri juga sama,..",1,Negatif
Sirekap saya .lupa pasword nya jadi gg bisa buka ..mohon arahan nya,1,Negatif
MINIMAL KLO BIKIN APLIKASI YG JELAS!!!! INI BUKA KAMERA AJA LAG PARAH. KLO GK BISA BIKIN APLIKASI MINMAL HIRE ORANG LAEN. KPU GK BECUS.,1,Negatif
Baik,5,Positif
Kenapa tidak bisa membuka aplikasi ada tulisan gagal mendapat sertifikat digital pada hal sdh di install ulang,1,Negatif
"Semoga, dengan mengirim email masalah lupa sandi bisa teratasi, , 🙏🙏",5,Positif
Versi terbaru makin buruk masuk nya aja di persulit makin di update makin ga jelas,1,Negatif
Apk gg suport all android!!! Server bosok!!,1,Negatif
Ok,5,Positif
"Uang milyaran cuma bisa bikin aplikasi kayak gini? Sampah, eror terus gak ada habis2nya. Gimana nnt hari H. Apa gak ada evaluasinya ya ini tim ITnya??? Orang bikin apps biar kerja masih cepat ini malah nyusahin dan nyebelin, petinggi gak beres dan IT nya pun gak beres, cocoknya tim IT nya orang yg profesional dan harus ganti ini orang2 yg sekarang ngerjain projek ini. Pemalas kalian, udah mau dekat2 pemilu baru asik kalian update2, selama ini kemana aja, memang asu.",1,Negatif
APA INI COK BISA USER SAMA PASWORD G MASUK??,1,Negatif
Apknya bikin pusing ....,2,Negatif
Bagus,5,Positif
Aplikasi kok gini amat y .. bikin pusing aja...Mudah2han lancar dan gk macet2 waktu hari h.,2,Negatif
Pusing ga jelas,1,Negatif
"Apk terburik yg pernah saya download, mau masuk aja terjadi kesalahan. Ini mau bimtek 5 bagaimana kalo ga bisa"" masa harus punya HP 10 kalo salah satu ga bisa buka, ini saya udah instal dan uninstal terus buat masuk ke apk ini. Coba ini solusinya gmn SIREKAP, gunta ganti aja sekalian di perbarui biar ga install ulang terus",1,Negatif
Semoga Bisa Digunakan Sampai Hari H Sebagaimana Mestinya 😄😄😄😄😄,5,Netral
Semoga aplikasi sirekap pada pilkada kali ini aplikasinya tidak ada kendala lgi,3,Netral
Kurang bagus,1,Negatif
"yaAllah yaAllah yaAllah, tolooongg bgtttt tolongg jangan upate update terossss, klo mudah mah gapapaa, laa ini makin makin makin makin suliiitttt astagfirulloh",1,Negatif
"PUSING.... KARENAAAAAAAA APK. SIREKAP, PALA PUSING KARENA SIREKAP",2,Negatif
"Di versi 2.71 lancar, dapet wa dari pps disuruh uninstall yg itu dan install yg ini, mampet di halaman masuk. Error failed to connect to api after 60000ms. Sepertinya butuh perbaikan di bagian infrastruktur pendukung. Mudah-mudahan BUG nya segera teratasi.",2,Negatif
"Abis Di update malah terjadu kesalahan, gagal mendapatkan kunci digital. Gimana ini, apk bukannya memudahkan malah bikin bingung.. Ini apk siap pakai apa tidak..??",1,Negatif
maaf punya saya belum bisa masuk.. gagal mendapatkan kunci digital.. tolong segera perbaiki.. makasih,2,Negatif
Knp gak di persiapkan jauh² hari udah pas mendekati bentar² update versi mending langsung on .ganti lg² ah pusing,1,Negatif
Kenapa aplikasinya tidak bisa masuk,1,Negatif
Aplikasine andalan yg selalu dipake pd saat pemilu 👍,1,Negatif
sumpah ni aplikasi susah banget login nya🔥 ini mempermudah atau mempersulit sihh😭😭😭,1,Negatif
"Ini aplikasi Bikin susah, sudah di update tapi tidak mau di instal, login pakai yg lama juga tidak mau, tolong lah kami2 dari ujung peloksok negeri ini signal,listrik dan jalan susah !,jgn di bikin susah lgi, menurut saya ini rancangan aplikasi sangat buruk, repot",1,Negatif
"Ujung tombak berada di kpps sirekap tapi,kenapa untuk log in saja gak bisa . Sangat Buruk.",1,Negatif
Mantap,5,Positif
gw kasih bintang lima buat si rekap..... tolong di tingkatkan admin jaringan aplikasinya,5,Netral
"Dari versi 2.71 ke versi 2.73 malah gagal login, harus gimana ya solusi nya. Sudah dihapus lalu download lagi tapi tetap aja sama tidak bisa login.",1,Negatif
Sangat bagus dan memuaskan 👍,5,Positif
Mantap,5,Positif
"KALO NGGAK BECUS BIKIN APLIKASI, MENDING NGGAK USAH PAKSAIN PAKE APLIKASI, BIKIN RIBET AJA",1,Negatif
Udah bolak balik uninstall install hapus data clear cache masih juga mentok di inisialisasi gagal masuk. Whyy???? Pdhl hr ini uji coba. Ya ampun ini tolong masih perlu diperbaiki nih aplikasi,1,Negatif
Kalo tidak canggih tidak usah membuat aplikasi yang membuat susah kpps yang kerja luar biasa untuk mencari kan jabatan untuk pejabat,1,Negatif
Pas login kok malah gagal mendapatkan kunci digital pas berhasil proses inisialisasi kok malah disuruh install chrome padahal chrome udah ada,1,Negatif
Capek banget hapus dan download ulang apk ini🥵,1,Negatif
Top teknologi nya,5,Positif
Aplikasi pemerintah gini amat,1,Negatif
Mau update ke versi 2.73 GE susah banget,2,Negatif
"Maaf sebelumnya tapi aplikasi belum bisa digunakan secara optimal mau log in saja sulit dan rata rata kendala nya itu semua, mungkin bisa di perbaiki dulu, jika memang sedang maintenance info saja maintenance jadi kita tidak terlalu khawatir Yang sangat kita khawatirkan kalau nanti saat hari pemilu aplikasi tidak dapat digunakan secara serentak tapi diwajibkan menguploud data Mohon untuk pihak KPU segera mengatasi banyaknya kendala kendala yang saat ini terjadi Terima kasihh",3,Netral
"Sudah apal sama aplikasi plat merah, pasti nek ga erorr ya ngelag",1,Negatif
Good,5,Positif
Semoga bisa ke versi 2.73,5,Netral
"Aplikasi keong. Harus Ditingkatkan lagi. Jangan buang"" anggaran",2,Negatif
Lupa pasword sirekap,2,Negatif
kagal bisa log in,1,Negatif
"Terlalu ribet, dan aplikasi masih kurang sempurna untuk di gunakan d seluruh Indonesia",1,Negatif
gagal login terus,1,Negatif
Belum di pake aja udah eror apa lg pas di pake,1,Negatif
Apk yg versi 2.73 ini kenapa malah susah sering macet pas mau masuk ke profil... Terjadi kesalahan saat inisiali aplikasi gagal mendapatkan kunci digital: java. Lang. Exception : anda saat ini sedang melakukan inisialisasi. Harap tunggu sejenak dan coba lagi..........gitu gitu mulu padahal yang versi 2.71 mah lancar lancar saja ini kenapa yng baru malah susah kendalanya cuman gk bisa masuk ke profil yg pengguna apk sirekap terbaru ini apakah sama punya kendala seperti ini..?????,1,Negatif
Gak bisa di install 2.73,1,Negatif
"Tuluy we tuluy lah saacan Sirah coplok mah, Mun sakirana teu bisa ngembangkeun apk na mending keneh neangan pagawe lain jangar lah Kana Sirah aing na, ti pemilu kamari knh ku apk sirekap ieu",1,Negatif
"Dari dulu penyakitnya sama nih apk, buat orang darting",2,Negatif
"Gk ush di bikin runyam deh aplikasi gk jelas bukan nya mempermudah mempersulit iya, di benerin tu aplikasi gk jls ni",1,Negatif
Semoga berjalan lancar dan sukses,5,Positif
ok. semangat lagi min,5,Positif
"Apa ini apk tidak bisa dipakai untuk yang versi 2.73 stuck di tempat login doang? Ini gimana yang buat,padahal penting untuk pemilihan tpi apk tidak di perbaiki ada yang banyak kesalahan",1,Negatif
