,content,score,at,sentimen
,Aplikasi untuk memasukkan data hasil pemilihan ,2,3/12/2025 18:37:40,Netral
,Sistem informasi Rekapitulasi,2,3/12/2025 18:58:36,Netral
,"Secara keseluruhan sistem sudah baik namun ada beberapa hal yang peru digaris bawahi, mengenai kendala akses internet di beberapa daerah sehingga penggunaan aplikasi kurang optimal.",2,3/12/2025 18:58:38,Netral
,Berjalan cukup lancar tanpa kendala yg berarti,3,3/12/2025 19:35:28,Positif
,Cukup baik selama proses scan tidak ada kendala seperti server down atau yang semacam nya,3,3/12/2025 19:56:29,Positif
,Mempermudah penghitungan cepat hasil pilkada 2024,3,3/12/2025 20:09:46,Positif
,Sangat membantu,3,3/12/2025 20:12:57,Positif
,Bisa digunakan dengan lancar,3,3/12/2025 20:13:39,Positif
,Menambah kerepotan waktu penghitungan suara ,1,3/12/2025 20:15:46,Negatif
,Sangat menyenangkan,3,3/12/2025 20:18:26,Positif
,Lumayan baik dari sebelumnya yang awalnya ribet dipermudah,3,3/13/2025 1:36:58,Positif
,"Sering terjadi error saat sedang digunakan ketika dilakukannya uji coba, dan perlu waktu lama untuk men upload dokumen pada aplikasi sirekap",1,3/13/2025 1:48:02,Negatif
,Mudah,3,3/13/2025 7:57:41,Positif
,Penggunaan sirekap kadang kendalanya dari sinyal sehingga membuat perhitungan menjadi selesai agak lama...,1,3/13/2025 8:49:34,Negatif
,Sirekap cukup membantu di dalam proses perhitungan suara,3,3/13/2025 9:05:44,Positif
,"Terdapat kendala berkaitan dengan error sistem, namun bisa segera teratasi",2,3/13/2025 9:57:07,Netral
,"Mudah digunakan sebenarnya. UI nya pun juga jelas. Namun terkadang lemot jika banyak yang mengakses. Selain itu, antara sirekap 1 & 2 tidak terintegrasi sehingga ketika mereka mengisi perbagian seperti gubernur atau bupati saja, datanya tidak terupdate di user satunya. ",2,3/13/2025 11:54:26,Netral
,"Aplikasi sirekap kemarin sudah berjalan dengan baik, terutama dalam scan hasil perhitungan sdh cukup baik walaupun masi perlu sedikit edit agar sesuai, lalu untuk upload daftar hadir juga butuh waktu yg cukup memakan waktu karna banyak nya dokumen yg di upload. ",3,3/14/2025 16:01:06,Positif
,Baik,3,3/20/2025 18:48:47,Positif
,Kurang Menarik,1,3/21/2025 4:06:44,Negatif
,"Aplikasi bisa digunakan dengan cukup baik dan lancar
Kualitas koneksi internet cukup berpengaruh",3,3/24/2025 9:38:54,Positif
,"Selama saya menjadi PPS pada saat Pilkada, aplikasi sirekap berjalan lancar walaupun masih ada kendala dari aplikasinya. Namun karena adanya sirekap penghitungan suara berjalan lebih cepat",3,4/5/2025 15:44:20,Positif
,Aplikasi sudah berjalan cukup baik dari sebelum nya,3,4/13/2025 9:50:47,Positif
,aplikasi sudah bagus,3,4/13/2025 9:52:13,Positif
,"Aplikasi sudah berjalan cukup baik, hanya saja pada saat pengupload an gambar daftar hadir membutuhkan waktu cukup lama",3,4/15/2025 19:18:30,Positif
,Saat hari H aplikasi sedikit susah di gunakan terutama dalam scan C hasil perlu adanya edit dan sangat lemot di hp saya,1,4/15/2025 19:21:29,Negatif
,"Aplikasi sering error pada saat pelaksanaan peng upload an data, harus logout kemudian login lagi",1,4/15/2025 19:25:41,Negatif
,"Banyak penambahan fitur, terutama progres, sungguh sangat membantu di pilkada, semoga pemilu kedepan semakin canggih",3,4/15/2025 19:29:57,Positif
,"Aplikasi tidak dapat diakses dikarenakan jaringan, saat unggah daftar hadir lama sekali",1,4/16/2025 12:32:22,Negatif
,"Alhamdulillah Aplikasi dapat digunakan dengan baik, walaupun saat mengunggah daftar hadir perlu membutuhkan waktu tunggu yang lumayan, tapi berhasil ",3,4/16/2025 12:35:35,Positif
,"Aplikasi berjalan dengan cukup baik, walaupun pada saat scan C Hasil perlu edit, tapi keseluruhan sudah oke",3,4/16/2025 12:37:51,Positif
,Aplikasi sudah cukup berjalan baik walaupun ada yang perlu di edit dalam scan C hasil,3,4/16/2025 12:39:46,Positif
,"Aplikasi sudah berjalan lebih baik dari sebelumnya, walaupun terdapat sedikit kendala dalam unggah daftar hadir dikarenakan jaringan yang kurang baik, tapi keseluruhan sudah cukup baik",3,4/16/2025 12:43:11,Positif
,"Alhamdulillah Aplikasi berjalan cukup baik, hanya saja terdapat kendala ringan dalam scan C hasil dan juga unggah daftar hadir, dikarenakan banyak yang akses sehingga membutuhkan waktu yang cukup lama",2,4/16/2025 12:47:35,Netral
,aplikasi sudah oke,3,4/16/2025 12:49:50,Positif
,"Aplikasi sudah lebih baik dari pemilu, walaupun masi sedikit kendala dalam unggah daftar hadir ",2,4/16/2025 12:52:42,Netral
,Suka eror semoga pemilu depan lancar ,1,3/12/2025 13:13:35,Negatif
,Ya namanya aplikasi kalau di pakek rame rame sering eror jadi saranya lebih ke perbaikan fitur fiturnya ,1,3/12/2025 13:25:27,Negatif
,Kalau bisa sih lebih diperbaiki lagi apknya ,1,3/12/2025 13:42:24,Negatif
,Servernya harus lebih dikembangkan,1,3/12/2025 13:58:20,Negatif
,"kadang ngebug, jadi perlu perbaikan yang lebih fast",1,3/12/2025 14:55:17,Negatif
,lebih ditingkatkan lagi kapasitas servernya sehingga pada saat penggunaan serentak servernya tidak down,1,3/12/2025 15:38:22,Negatif
,Tidak,3,3/12/2025 15:42:08,Netral
,Kalau bisa pps bisa mengetahui hasil yang input kpps...biar bisa memantau hasilnya,3,3/12/2025 15:55:53,Netral
,Aplikasi pada Sirekap Mobile sudah cukup baik hanya saja beberapa pengguna mengalami kendala saat penggunaan serentak. Mohon untuk melakukan perbaikan terhadap jaringan agar pada saat digunakan serentak minim kendala. ,3,3/12/2025 16:13:05,Netral
,Sejauh ini sudah baik,2,3/12/2025 16:29:47,Positif
,Sistem yg terintegritas secara nasional yang digunakan dalan waktu bersamaan dihari yang sama harus mepertimbangkan kekuatan server yang akan digunakan,1,3/12/2025 16:43:44,Negatif
,"Tampilan UI nya perlu di desain ulang, supaya pengguna bisa lebih mudah memahami aplikasi sirekap. ",2,3/12/2025 17:02:50,Negatif
,Untuk verval pendaftaranya mohon lebih cepat ka,3,3/12/2025 17:06:56,Negatif
,Jaringan server nya perlu di perbaiki,3,3/12/2025 17:09:27,Negatif
,Jaringan server lemot,2,3/12/2025 17:12:19,Negatif
,"Mungkin yang perlu diperhatikan itu pada servernya,apakah bisa digunakan secara bersama"" dengan baik atau tidak",2,3/12/2025 17:32:52,Negatif
,Jika nantinya terdapat pemilu/kada lagi dan masih menggunakan apk siRekap tersebut mungkin servernya bisa perbaiki lebih baik lagi,2,3/12/2025 17:45:48,Negatif
,Lebih baik diadakan simulasi serentak dan berkala untuk melihat server kuat apa tidak,2,3/12/2025 17:54:10,Netral
,Perlu database yg besar untuk menampung data nasional,2,3/12/2025 18:05:36,Negatif
,buat versi lebih baikk,2,3/12/2025 18:08:25,Negatif
,Untuk sirekap pilkada sudah lumayan baik sistemnya lancar ,2,3/12/2025 18:08:38,Positif
,-,3,3/12/2025 18:17:01,Netral
,"Alhamdulillah untuk  SIREKAP  Pilkada sudah lebih baik dibandingkan saat Pilpres. Sebisa mungkin pada saat Pilkada jaringan difokuskan dalam pengguna Sirekap sehingga dalam pengiriman foto TDK terlalu terkendala pada jaringan. 
Terimakasih ",3,3/12/2025 18:35:49,Netral
,Sudah baik,3,3/12/2025 18:37:29,Positif
,Lebih di buat se fleksibel mungkin agar setiap orang dapat menggunakan,2,3/12/2025 18:37:40,Netral
,Diperbaiki sistem nya dan kerahasiaannya,2,3/12/2025 18:58:36,Negatif
,mungkin bisa diperbaiki sistem agar bisa membaca dokumen yang di scan dengan baik.,2,3/12/2025 18:58:38,Negatif
,Lebih diperbaiki lagi agar UI (User Interface) lebih mudah dipahami pengguna dan perbaikan di sistem agar tidak sering terjadi error,3,3/12/2025 19:35:28,Negatif
,Lebih di tingkatkan lagi dalam proses membaca angka nya,3,3/12/2025 19:56:29,Negatif
,Antara operator sirekap 1 dan 2 tidak saling singkron jadi operator sirekap 1 tidak tahu bagian mana saja yang sudah diupload oleh operator sirekap 2,3,3/12/2025 20:09:46,Negatif
,Antara operator sirekap 1 dan 2 tidak saling singkron jadi operator sirekap 1 tidak tahu bagian mana saja yang sudah diupload oleh operator sirekap 2,2,3/12/2025 20:12:57,Negatif
,Semoga untuk pengambilan gambar bisa diperbaiki lagi supaya tidak banyak mengulang saat memfoto ,3,3/12/2025 20:13:39,Negatif
,Antara operator sirekap 1 dan 2 tidak saling singkron jadi operator sirekap 1 tidak tahu bagian mana saja yang sudah diupload oleh operator sirekap 2,2,3/12/2025 20:15:46,Negatif
,Antara operator sirekap 1 dan 2 tidak saling singkron jadi operator sirekap 1 tidak tahu bagian mana saja yang sudah diupload oleh operator sirekap 2,3,3/12/2025 20:18:26,Negatif
,Jaringan lebih diutamakan lagi,3,3/13/2025 1:36:58,Negatif
,Sebaiknya sirekap dilakukan pembaruan dan pemantapan lebih baik lagi agar todak terjadi kendala seperti sebelumnya ,2,3/13/2025 1:48:02,Negatif
,Kapasitas Server Perlu Ditingkatkan,3,3/13/2025 7:57:41,Negatif
,Lebih ditingkatkan lagi kualitas aplikasinya... agar perhitungan pilkada bisa berjalan dengan baik dan lancar tanpa kendala sinyal,3,3/13/2025 8:49:34,Negatif
,Di perbaiki lagi terkait pengambilan gambar c plano,3,3/13/2025 9:05:44,Negatif
,Semoga terkait sistemnya bisa lebih efektif lagi,2,3/13/2025 9:57:07,Negatif
,Mohon servernya ditambah. UI nya lebih menarik lagi. Mohon sirekap 1 & 2 diintergrasikan.,2,3/13/2025 11:54:26,Negatif
,"Perbaiki lagi bagian scan data agar lebih akurat agar minim edit, dan juga bagian login kalau bisa tetap berada di apk tersebut dan sesi nya login di perpanjang",3,3/14/2025 16:01:06,Negatif
,Terus tingkatkan kualitas agar kedepannya segala kendala bisa diminimalisir ,3,3/20/2025 18:48:47,Negatif
,Harus lebih pintar dan lebih menarik isinya,1,3/21/2025 4:06:44,Negatif
,Pengguna sirekap harus lebih teliti dan telaten lagi,3,3/24/2025 9:38:54,Netral
,"Saran saya karena aplikasi sirekap dilaksanakan serentak se indonesia jadi aplikasinya harus bener bener matang dan siap digunakan. dan saran saya perbaiki fitur-fitur yang problem laag/lemot agar KPPS waktu menginput data itu mudah, cepat, dan efisien",3,4/5/2025 15:44:20,Negatif
,bisa ditingkatkan kecepatan dari aplikasi nya,3,4/13/2025 9:50:47,Negatif
,sudah baik,3,4/13/2025 9:52:13,Positif
,perlunya perbaikan sistem dalam menerima upload gambar,3,4/15/2025 19:18:30,Negatif
,Sistem nya di perbaiki ,1,4/15/2025 19:21:29,Negatif
,"perlunya perbaikan sistem, dan tolong bisa di gunakan dalam versi hp apapun",1,4/15/2025 19:25:41,Negatif
,UI nya di permudah lagi,3,4/15/2025 19:29:57,Negatif
,perbaiki sistem nya lagi ,1,4/16/2025 12:32:22,Negatif
,jaringan nya tolong di perbaiki,3,4/16/2025 12:35:35,Negatif
,Perbaiki lagi sistem scan C Hasil biar akurat,2,4/16/2025 12:37:51,Negatif
,bagian scan bisa di perbaiki untuk hasil yang akurat,3,4/16/2025 12:39:46,Negatif
,perbaikan sistem aplikasi dan servernya,3,4/16/2025 12:43:11,Negatif
,sistemnya di perbaiki dan juga servernya,2,4/16/2025 12:47:35,Negatif
,sistem nya untukscan bisa di perbaiki agar hasilnya lebih akurat,3,4/16/2025 12:49:50,Negatif
,servernya perlu di perbaiki,2,4/16/2025 12:52:42,Negatif
