,content,score,at,label
,Aplikasi untuk memasukkan data hasil pemilihan ,2,3/12/2025 18:37:40,Netral
,Sistem informasi Rekapitulasi,2,3/12/2025 18:58:36,Netral
,"Secara keseluruhan sistem sudah baik namun ada beberapa hal yang peru digaris bawahi, mengenai kendala akses internet di beberapa daerah sehingga penggunaan aplikasi kurang optimal.",2,3/12/2025 18:58:38,Netral
,Berjalan cukup lancar tanpa kendala yg berarti,3,3/12/2025 19:35:28,Positif
,Cukup baik selama proses scan tidak ada kendala seperti server down atau yang semacam nya,3,3/12/2025 19:56:29,Positif
,Mempermudah penghitungan cepat hasil pilkada 2024,3,3/12/2025 20:09:46,Positif
,Sangat membantu,3,3/12/2025 20:12:57,Positif
,Bisa digunakan dengan lancar,3,3/12/2025 20:13:39,Positif
,Menambah kerepotan waktu penghitungan suara ,1,3/12/2025 20:15:46,Negatif
,Sangat menyenangkan,3,3/12/2025 20:18:26,Positif
,Lumayan baik dari sebelumnya yang awalnya ribet dipermudah,3,3/13/2025 1:36:58,Positif
,"Sering terjadi error saat sedang digunakan ketika dilakukannya uji coba, dan perlu waktu lama untuk men upload dokumen pada aplikasi sirekap",1,3/13/2025 1:48:02,Negatif
,Mudah,3,3/13/2025 7:57:41,Positif
,Penggunaan sirekap kadang kendalanya dari sinyal sehingga membuat perhitungan menjadi selesai agak lama...,1,3/13/2025 8:49:34,Negatif
,Sirekap cukup membantu di dalam proses perhitungan suara,3,3/13/2025 9:05:44,Positif
,"Terdapat kendala berkaitan dengan error sistem, namun bisa segera teratasi",2,3/13/2025 9:57:07,Netral
,"Mudah digunakan sebenarnya. UI nya pun juga jelas. Namun terkadang lemot jika banyak yang mengakses. Selain itu, antara sirekap 1 & 2 tidak terintegrasi sehingga ketika mereka mengisi perbagian seperti gubernur atau bupati saja, datanya tidak terupdate di user satunya. ",2,3/13/2025 11:54:26,Netral
,"Aplikasi sirekap kemarin sudah berjalan dengan baik, terutama dalam scan hasil perhitungan sdh cukup baik walaupun masi perlu sedikit edit agar sesuai, lalu untuk upload daftar hadir juga butuh waktu yg cukup memakan waktu karna banyak nya dokumen yg di upload. ",3,3/14/2025 16:01:06,Positif
,Baik,3,3/20/2025 18:48:47,Positif
,Kurang Menarik,1,3/21/2025 4:06:44,Negatif
,"Aplikasi bisa digunakan dengan cukup baik dan lancar
Kualitas koneksi internet cukup berpengaruh",3,3/24/2025 9:38:54,Positif
,"Selama saya menjadi PPS pada saat Pilkada, aplikasi sirekap berjalan lancar walaupun masih ada kendala dari aplikasinya. Namun karena adanya sirekap penghitungan suara berjalan lebih cepat",3,4/5/2025 15:44:20,Positif
,Aplikasi sudah berjalan cukup baik dari sebelum nya,3,4/13/2025 9:50:47,Positif
,aplikasi sudah bagus,3,4/13/2025 9:52:13,Positif
,"Aplikasi sudah berjalan cukup baik, hanya saja pada saat pengupload an gambar daftar hadir membutuhkan waktu cukup lama",3,4/15/2025 19:18:30,Positif
,Saat hari H aplikasi sedikit susah di gunakan terutama dalam scan C hasil perlu adanya edit dan sangat lemot di hp saya,1,4/15/2025 19:21:29,Negatif
,"Aplikasi sering error pada saat pelaksanaan peng upload an data, harus logout kemudian login lagi",1,4/15/2025 19:25:41,Negatif
,"Banyak penambahan fitur, terutama progres, sungguh sangat membantu di pilkada, semoga pemilu kedepan semakin canggih",3,4/15/2025 19:29:57,Positif
,"Aplikasi tidak dapat diakses dikarenakan jaringan, saat unggah daftar hadir lama sekali",1,4/16/2025 12:32:22,Negatif
,"Alhamdulillah Aplikasi dapat digunakan dengan baik, walaupun saat mengunggah daftar hadir perlu membutuhkan waktu tunggu yang lumayan, tapi berhasil ",3,4/16/2025 12:35:35,Positif
,"Aplikasi berjalan dengan cukup baik, walaupun pada saat scan C Hasil perlu edit, tapi keseluruhan sudah oke",3,4/16/2025 12:37:51,Positif
,Aplikasi sudah cukup berjalan baik walaupun ada yang perlu di edit dalam scan C hasil,3,4/16/2025 12:39:46,Positif
,"Aplikasi sudah berjalan lebih baik dari sebelumnya, walaupun terdapat sedikit kendala dalam unggah daftar hadir dikarenakan jaringan yang kurang baik, tapi keseluruhan sudah cukup baik",3,4/16/2025 12:43:11,Positif
,"Alhamdulillah Aplikasi berjalan cukup baik, hanya saja terdapat kendala ringan dalam scan C hasil dan juga unggah daftar hadir, dikarenakan banyak yang akses sehingga membutuhkan waktu yang cukup lama",2,4/16/2025 12:47:35,Netral
,aplikasi sudah oke,3,4/16/2025 12:49:50,Positif
,"Aplikasi sudah lebih baik dari pemilu, walaupun masi sedikit kendala dalam unggah daftar hadir ",2,4/16/2025 12:52:42,Netral
,Suka eror semoga pemilu depan lancar ,1,3/12/2025 13:13:35,Negatif
,Ya namanya aplikasi kalau di pakek rame rame sering eror jadi saranya lebih ke perbaikan fitur fiturnya ,1,3/12/2025 13:25:27,Negatif
,Kalau bisa sih lebih diperbaiki lagi apknya ,1,3/12/2025 13:42:24,Negatif
,Servernya harus lebih dikembangkan,1,3/12/2025 13:58:20,Negatif
,"kadang ngebug, jadi perlu perbaikan yang lebih fast",1,3/12/2025 14:55:17,Negatif
,lebih ditingkatkan lagi kapasitas servernya sehingga pada saat penggunaan serentak servernya tidak down,1,3/12/2025 15:38:22,Negatif
,Tidak,3,3/12/2025 15:42:08,Netral
,Kalau bisa pps bisa mengetahui hasil yang input kpps...biar bisa memantau hasilnya,3,3/12/2025 15:55:53,Netral
,Aplikasi pada Sirekap Mobile sudah cukup baik hanya saja beberapa pengguna mengalami kendala saat penggunaan serentak. Mohon untuk melakukan perbaikan terhadap jaringan agar pada saat digunakan serentak minim kendala. ,3,3/12/2025 16:13:05,Netral
,Sejauh ini sudah baik,2,3/12/2025 16:29:47,Positif
,Sistem yg terintegritas secara nasional yang digunakan dalan waktu bersamaan dihari yang sama harus mepertimbangkan kekuatan server yang akan digunakan,1,3/12/2025 16:43:44,Negatif
,"Tampilan UI nya perlu di desain ulang, supaya pengguna bisa lebih mudah memahami aplikasi sirekap. ",2,3/12/2025 17:02:50,Negatif
,Untuk verval pendaftaranya mohon lebih cepat ka,3,3/12/2025 17:06:56,Negatif
,Jaringan server nya perlu di perbaiki,3,3/12/2025 17:09:27,Negatif
,Jaringan server lemot,2,3/12/2025 17:12:19,Negatif
,"Mungkin yang perlu diperhatikan itu pada servernya,apakah bisa digunakan secara bersama"" dengan baik atau tidak",2,3/12/2025 17:32:52,Negatif
,Jika nantinya terdapat pemilu/kada lagi dan masih menggunakan apk siRekap tersebut mungkin servernya bisa perbaiki lebih baik lagi,2,3/12/2025 17:45:48,Negatif
,Lebih baik diadakan simulasi serentak dan berkala untuk melihat server kuat apa tidak,2,3/12/2025 17:54:10,Netral
,Perlu database yg besar untuk menampung data nasional,2,3/12/2025 18:05:36,Negatif
,buat versi lebih baikk,2,3/12/2025 18:08:25,Negatif
,Untuk sirekap pilkada sudah lumayan baik sistemnya lancar ,2,3/12/2025 18:08:38,Positif
,-,3,3/12/2025 18:17:01,Netral
,"Alhamdulillah untuk  SIREKAP  Pilkada sudah lebih baik dibandingkan saat Pilpres. Sebisa mungkin pada saat Pilkada jaringan difokuskan dalam pengguna Sirekap sehingga dalam pengiriman foto TDK terlalu terkendala pada jaringan. 
Terimakasih ",3,3/12/2025 18:35:49,Netral
,Sudah baik,3,3/12/2025 18:37:29,Positif
,Lebih di buat se fleksibel mungkin agar setiap orang dapat menggunakan,2,3/12/2025 18:37:40,Netral
,Diperbaiki sistem nya dan kerahasiaannya,2,3/12/2025 18:58:36,Negatif
,mungkin bisa diperbaiki sistem agar bisa membaca dokumen yang di scan dengan baik.,2,3/12/2025 18:58:38,Negatif
,Lebih diperbaiki lagi agar UI (User Interface) lebih mudah dipahami pengguna dan perbaikan di sistem agar tidak sering terjadi error,3,3/12/2025 19:35:28,Negatif
,Lebih di tingkatkan lagi dalam proses membaca angka nya,3,3/12/2025 19:56:29,Negatif
,Antara operator sirekap 1 dan 2 tidak saling singkron jadi operator sirekap 1 tidak tahu bagian mana saja yang sudah diupload oleh operator sirekap 2,3,3/12/2025 20:09:46,Negatif
,Antara operator sirekap 1 dan 2 tidak saling singkron jadi operator sirekap 1 tidak tahu bagian mana saja yang sudah diupload oleh operator sirekap 2,2,3/12/2025 20:12:57,Negatif
,Semoga untuk pengambilan gambar bisa diperbaiki lagi supaya tidak banyak mengulang saat memfoto ,3,3/12/2025 20:13:39,Negatif
,Antara operator sirekap 1 dan 2 tidak saling singkron jadi operator sirekap 1 tidak tahu bagian mana saja yang sudah diupload oleh operator sirekap 2,2,3/12/2025 20:15:46,Negatif
,Antara operator sirekap 1 dan 2 tidak saling singkron jadi operator sirekap 1 tidak tahu bagian mana saja yang sudah diupload oleh operator sirekap 2,3,3/12/2025 20:18:26,Negatif
,Jaringan lebih diutamakan lagi,3,3/13/2025 1:36:58,Negatif
,Sebaiknya sirekap dilakukan pembaruan dan pemantapan lebih baik lagi agar todak terjadi kendala seperti sebelumnya ,2,3/13/2025 1:48:02,Negatif
,Kapasitas Server Perlu Ditingkatkan,3,3/13/2025 7:57:41,Negatif
,Lebih ditingkatkan lagi kualitas aplikasinya... agar perhitungan pilkada bisa berjalan dengan baik dan lancar tanpa kendala sinyal,3,3/13/2025 8:49:34,Negatif
,Di perbaiki lagi terkait pengambilan gambar c plano,3,3/13/2025 9:05:44,Negatif
,Semoga terkait sistemnya bisa lebih efektif lagi,2,3/13/2025 9:57:07,Negatif
,Mohon servernya ditambah. UI nya lebih menarik lagi. Mohon sirekap 1 & 2 diintergrasikan.,2,3/13/2025 11:54:26,Negatif
,"Perbaiki lagi bagian scan data agar lebih akurat agar minim edit, dan juga bagian login kalau bisa tetap berada di apk tersebut dan sesi nya login di perpanjang",3,3/14/2025 16:01:06,Negatif
,Terus tingkatkan kualitas agar kedepannya segala kendala bisa diminimalisir ,3,3/20/2025 18:48:47,Negatif
,Harus lebih pintar dan lebih menarik isinya,1,3/21/2025 4:06:44,Negatif
,Pengguna sirekap harus lebih teliti dan telaten lagi,3,3/24/2025 9:38:54,Netral
,"Saran saya karena aplikasi sirekap dilaksanakan serentak se indonesia jadi aplikasinya harus bener bener matang dan siap digunakan. dan saran saya perbaiki fitur-fitur yang problem laag/lemot agar KPPS waktu menginput data itu mudah, cepat, dan efisien",3,4/5/2025 15:44:20,Negatif
,bisa ditingkatkan kecepatan dari aplikasi nya,3,4/13/2025 9:50:47,Negatif
,sudah baik,3,4/13/2025 9:52:13,Positif
,perlunya perbaikan sistem dalam menerima upload gambar,3,4/15/2025 19:18:30,Negatif
,Sistem nya di perbaiki ,1,4/15/2025 19:21:29,Negatif
,"perlunya perbaikan sistem, dan tolong bisa di gunakan dalam versi hp apapun",1,4/15/2025 19:25:41,Negatif
,UI nya di permudah lagi,3,4/15/2025 19:29:57,Negatif
,perbaiki sistem nya lagi ,1,4/16/2025 12:32:22,Negatif
,jaringan nya tolong di perbaiki,3,4/16/2025 12:35:35,Negatif
,Perbaiki lagi sistem scan C Hasil biar akurat,2,4/16/2025 12:37:51,Negatif
,bagian scan bisa di perbaiki untuk hasil yang akurat,3,4/16/2025 12:39:46,Negatif
,perbaikan sistem aplikasi dan servernya,3,4/16/2025 12:43:11,Negatif
,sistemnya di perbaiki dan juga servernya,2,4/16/2025 12:47:35,Negatif
,sistem nya untukscan bisa di perbaiki agar hasilnya lebih akurat,3,4/16/2025 12:49:50,Negatif
,servernya perlu di perbaiki,2,4/16/2025 12:52:42,Negatif
,Saya baru saja mencoba aplikasi ini.,2,3/12/2025 13:13:35,Netral
,Aplikasi SIREKAP sudah saya instal di ponsel.,2,3/12/2025 13:25:27,Netral
,Fitur yang tersedia cukup banyak.,2,3/12/2025 13:42:24,Netral
,Masih mempelajari cara kerja aplikasi ini.,2,3/12/2025 13:58:20,Netral
,Belum ada pengalaman berarti sejauh ini.,2,3/12/2025 14:55:17,Netral
,Tampilan aplikasinya standar.,2,3/12/2025 15:38:22,Netral
,Informasi tersedia cukup lengkap.,2,3/12/2025 15:42:08,Netral
,Aplikasi ini digunakan selama pemilu.,2,3/12/2025 15:55:53,Netral
,Belum semua fitur saya coba.,2,3/12/2025 16:13:05,Netral
,Saya menggunakan aplikasi ini sesuai kebutuhan.,2,3/12/2025 16:29:47,Netral
,Belum bisa menilai secara keseluruhan.,2,3/12/2025 16:43:44,Netral
,Aplikasi ini dipakai oleh petugas saat pemilu.,2,3/12/2025 17:02:50,Netral
,Data ditampilkan dalam bentuk digital.,2,3/12/2025 17:06:56,Netral
,Fungsi utamanya untuk rekapitulasi suara.,2,3/12/2025 17:09:27,Netral
,Digunakan oleh KPU selama pemilihan.,2,3/12/2025 17:12:19,Netral
,Saya masih mengikuti petunjuk penggunaan.,2,3/12/2025 17:32:52,Netral
,Belum mengalami kendala berarti.,2,3/12/2025 17:45:48,Netral
,Tampaknya aplikasi ini masih dalam pengembangan.,2,3/12/2025 17:54:10,Netral
,Instalasi aplikasi berjalan lancar.,3,3/12/2025 18:05:36,Positif
,Informasi yang disediakan cukup relevan.,2,3/12/2025 18:08:25,Netral
,Saya menerima informasi dari KPU melalui aplikasi ini.,2,3/12/2025 18:08:38,Netral
,Proses login menggunakan akun yang sudah terdaftar.,2,3/12/2025 18:17:01,Netral
,Terdapat banyak menu di aplikasi ini.,2,3/12/2025 18:35:49,Netral
,Saya hanya menggunakan saat dibutuhkan.,2,3/12/2025 18:37:29,Netral
,Tampilan cukup bisa dipahami.,2,3/12/2025 18:37:40,Netral
,Aplikasi ini diperkenalkan menjelang pemilu.,2,3/12/2025 18:58:36,Netral
,Belum bisa menyimpulkan performanya.,2,3/12/2025 18:58:38,Netral
,Masih perlu waktu untuk terbiasa.,2,3/12/2025 19:35:28,Netral
,Saya mengikuti panduan dalam aplikasi.,2,3/12/2025 19:56:29,Netral
,Belum melakukan update terbaru.,2,3/12/2025 20:09:46,Netral
,Aplikasi berjalan sesuai fungsinya.,3,3/12/2025 20:12:57,Positif
,Aplikasinya sangat membantu dalam rekap suara.,3,30/11/2024 20:30,Positif
,Desain antarmukanya simpel dan mudah dipahami.,3,30/11/2024 20:31,Positif
,Proses input data cepat dan efisien.,3,30/11/2024 20:32,Positif
,Membantu transparansi dalam pemilu.,3,30/11/2024 20:33,Positif
,SIREKAP mempermudah tugas KPPS di lapangan.,3,30/11/2024 20:34,Positif
,Hasil rekap bisa langsung dilihat secara real-time.,3,30/11/2024 20:35,Positif
,Fitur OCR-nya sangat akurat.,3,30/11/2024 20:36,Positif
,Sistemnya stabil dan jarang crash.,3,30/11/2024 20:37,Positif
,Membantu mempercepat pengiriman data ke KPU.,3,30/11/2024 20:38,Positif
,Cocok untuk pemilu era digital.,3,30/11/2024 20:39,Positif
,Aplikasinya ringan dan tidak memakan banyak memori.,3,30/11/2024 20:40,Positif
,Bisa digunakan dengan lancar meski sinyal lemah.,3,30/11/2024 20:41,Positif
,Penggunaan pertama langsung bisa tanpa pelatihan rumit.,3,30/11/2024 20:42,Positif
,Hemat waktu dalam proses rekapitulasi suara.,3,30/11/2024 20:43,Positif
,Interface-nya bersih dan profesional.,3,30/11/2024 20:44,Positif
,Proses verifikasi data sangat terbantu.,3,30/11/2024 20:45,Positif
,Aplikasi ini benar-benar inovatif.,3,30/11/2024 20:46,Positif
,SIREKAP membuat sistem pemilu lebih terbuka.,3,30/11/2024 20:47,Positif
,Petugas lapangan jadi lebih terbantu.,3,30/11/2024 20:48,Positif
,Langkah maju dalam pemilu yang jujur.,3,30/11/2024 20:49,Positif
,Membantu menghindari kesalahan rekap manual.,3,4/12/2024 12:30:00,Positif
,Respons aplikasinya cepat.,3,5/12/2024 12:31:00,Positif
,Pendaftaran dan login mudah.,3,6/12/2024 12:32:00,Positif
,Integrasi data sangat lancar.,3,7/12/2024 12:33:00,Positif
,Otomatisasi rekap sangat mengurangi beban kerja.,3,8/12/2024 12:34:00,Positif
,Ada fitur koreksi jika OCR salah baca.,3,9/12/2024 12:35:00,Positif
,Laporan bisa langsung dibagikan ke pusat.,3,10/12/2024 12:36:00,Positif
,Aplikasinya responsif di berbagai ukuran layar.,3,11/12/2024 12:37:00,Positif
,Sangat berguna untuk pemantauan hasil suara.,3,12/12/2024 12:38:00,Positif
,Memberikan rasa percaya diri kepada petugas.,3,1/12/2025 12:39:00,Positif
,Dokumentasi lengkap dan mudah diakses.,3,2/12/2025 12:40:00,Positif
,Aman digunakan karena ada autentikasi.,3,3/12/2025 12:41:00,Positif
,Tampilan hasil suara sangat jelas.,3,4/12/2025 12:42:00,Positif
,SIREKAP memudahkan publik memantau pemilu.,3,5/12/2025 12:43:00,Positif
,Membantu menjaga kepercayaan masyarakat.,3,6/12/2025 12:44:00,Positif
,Bisa digunakan offline lalu sinkron otomatis.,3,7/12/2025 12:45:00,Positif
,Laporan bisa langsung diekspor.,3,8/12/2025 12:46:00,Positif
,Dukungan teknis cepat dan responsif.,3,9/12/2025 12:47:00,Positif
,Bisa langsung ambil gambar formulir.,3,10/12/2025 12:48:00,Positif
,Data tersimpan otomatis.,3,11/12/2025 12:49:00,Positif
,Banyak tutorial tersedia.,3,12/12/2025 12:50:00,Positif
,Cocok untuk semua level pengguna.,3,1/12/2026 12:51:00,Positif
,Membantu percepat proses demokrasi.,3,2/12/2026 12:52:00,Positif
,"Satu aplikasi, banyak solusi.",3,3/12/2026 12:53:00,Positif
,SIREKAP membawa efisiensi nyata.,3,4/12/2026 12:54:00,Positif
,Tidak butuh pelatihan khusus.,3,5/12/2026 12:55:00,Positif
,UI sangat ramah pengguna.,3,6/12/2026 12:56:00,Positif
,Proses rekap jadi lebih transparan.,3,7/12/2026 12:57:00,Positif
,Error sangat minim.,3,8/12/2026 12:58:00,Positif
,Tersedia dalam beberapa bahasa.,3,9/12/2026 12:59:00,Positif
,Formulir bisa langsung dikenali dengan OCR.,3,10/12/2026 13:00:00,Positif
,Kompresi gambar otomatis untuk hemat data.,3,11/12/2026 13:01:00,Positif
,Bisa bekerja di perangkat low-end.,3,12/12/2026 13:02:00,Positif
,Navigasi antar menu mudah.,3,1/12/2027 13:03:00,Positif
,Integrasi dengan server pusat cepat.,3,2/12/2027 13:04:00,Positif
,Pengawasan bisa dilakukan secara digital.,3,3/12/2027 13:05:00,Positif
,Terlindungi dengan enkripsi data.,3,4/12/2027 13:06:00,Positif
,Bisa digunakan dalam skala nasional.,3,5/12/2027 13:07:00,Positif
,Desain modern dan intuitif.,3,6/12/2027 13:08:00,Positif
,Meningkatkan akuntabilitas pemilu.,3,7/12/2027 13:09:00,Positif
,Tersedia petunjuk penggunaan langsung di aplikasi.,3,8/12/2027 13:10:00,Positif
,Tidak ada iklan yang mengganggu.,3,9/12/2027 13:11:00,Positif
,Membantu kerja penyelenggara pemilu.,3,10/12/2027 13:12:00,Positif
,Lebih baik dari cara manual.,3,11/12/2027 13:13:00,Positif
,"Bisa diakses kapan saja, di mana saja.",3,12/12/2027 13:14:00,Positif
,Tidak perlu alat tambahan.,3,1/12/2028 13:15:00,Positif
,Meningkatkan efisiensi rekapitulasi.,3,2/12/2028 13:16:00,Positif
,Aplikasi ini patut diapresiasi.,3,3/12/2028 13:17:00,Positif
,Mempermudah pengawasan suara.,3,4/12/2028 13:18:00,Positif
,Sangat berguna di daerah terpencil.,3,5/12/2028 13:19:00,Positif
,Data tersimpan otomatis dan aman.,3,6/12/2028 13:20:00,Positif
,Bisa diandalkan saat kondisi darurat.,3,7/12/2028 13:21:00,Positif
,Proses upload sangat cepat.,3,8/12/2028 13:22:00,Positif
,Mendukung integrasi sistem nasional.,3,9/12/2028 13:23:00,Positif
,Wajib dipakai di semua TPS.,3,10/12/2028 13:24:00,Positif
,Menurunkan beban kerja petugas.,3,11/12/2028 13:25:00,Positif
,Aplikasi ini bukti digitalisasi yang sukses.,3,12/12/2028 13:26:00,Positif
,Bisa dipakai tanpa pelatihan khusus.,3,1/12/2029 13:27:00,Positif
,Tidak butuh banyak data untuk sinkronisasi.,3,2/12/2029 13:28:00,Positif
,Berfungsi baik di HP jadul sekalipun.,3,3/12/2029 13:29:00,Positif
,OCR-nya sangat cerdas.,3,4/12/2029 13:30:00,Positif
,Aplikasi ini luar biasa!,3,5/12/2029 13:31:00,Positif
,Sangat direkomendasikan untuk pemilu berikutnya.,3,6/12/2029 13:32:00,Positif
,Petugas bisa langsung belajar dari aplikasi.,3,7/12/2029 13:33:00,Positif
,Sistem upload dan validasinya cepat.,3,8/12/2029 13:34:00,Positif
,Bisa bantu validasi silang dengan manual.,3,9/12/2029 13:35:00,Positif
,Memperkuat proses demokrasi digital.,3,10/12/2029 13:36:00,Positif
,Data terenkripsi dengan baik.,3,11/12/2029 13:37:00,Positif
,Hasil rekap bisa dibagikan instan.,3,12/12/2029 13:38:00,Positif
,Ringan dan cepat diakses.,3,1/12/2030 13:39:00,Positif
,Tidak boros baterai.,3,2/12/2030 13:40:00,Positif
,Cocok untuk semua daerah.,3,3/12/2030 13:41:00,Positif
,Pemerintah harus terus kembangkan ini.,3,4/12/2030 13:42:00,Positif
,Aplikasi terbaik untuk pemilu digital.,3,5/12/2030 13:43:00,Positif
,Mempermudah kerja pengawas dan saksi.,3,6/12/2030 13:44:00,Positif
,Formulir terbaca dengan sangat baik.,3,7/12/2030 13:45:00,Positif
,Praktis dan efisien digunakan.,3,8/12/2030 13:46:00,Positif
,Harus jadi standar nasional rekapitulasi suara.,3,9/12/2030 13:47:00,Positif
